,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source,foreign_key
515,C13H26O,CCCCCCCCCCCC(C)=O,593-08-8,198.34494018554688,algea,-2.120263536200091,log(mg/L),"NITE, VEGA, Literature set",7671
516,C12H24O2,CCCCCCCCCCCC(=O)O,143-07-7,200.31776428222656,algea,1.8251942453142924,log(mg/L),"VEGA, Literature set",1142
517,C25H46N2O2,CCCCCCCCCCCCC1CC(=O)N(C2CC(C)(C)NC(C)(C)C2)C1=O,79720-19-7,406.64495849609375,algea,-0.9834994815676052,log(mg/L),ECHA,7672
518,C19H35NO5,CCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O,72716-26-8,357.4848937988281,algea,3.1254438800756477,log(mg/L),ECHA,7673
519,C14H28O2,CCCCCCCCCCCCCC(=O)O,544-63-8,228.3709259033203,algea,0.7424134218628634,log(mg/L),Literature set,7674
520,C22H47N2O,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)C,51277-96-4,355.62139892578125,algea,-0.8989420935395419,log(mg/L),ECHA,7675
521,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,57-10-3,256.424072265625,algea,-0.5108256237659907,log(mg/L),Literature set,7676
522,C23H48N2O,CCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C,7651-02-7,368.6400146484375,algea,0.5933268452777344,log(mg/L),ECHA,7677
523,C27H56N2O,CCCCCCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C,60270-33-9,424.746337890625,algea,0.6497176226326093,log(mg/L),ECHA,7678
524,C21H42O2S,CCCCCCCCCCCCCCCCCCOC(=O)CCS,31778-15-1,358.6219787597656,algea,-0.6481738149172142,log(mg/L),ECHA,7679
525,C24H52NO,CCCCCCCCCCCCCCCCCCOCCC[N+](C)(C)C,23328-71-4,370.67578125,algea,-2.5510464522925447,log(mg/L),ECHA,7680
526,C21H46N,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,1120-02-1,312.5966491699219,algea,-2.5902671654458262,log(mg/L),ECHA,7681
527,C17H37N,CCCCCCCCCCCCCCCCCN,4200-95-7,255.48239135742188,algea,-2.764620552590604,log(mg/L),Literature set,7682
528,C18H39N,CCCCCCCCCCCCCCCCN(C)C,112-69-6,269.50897216796875,algea,-4.615220521841593,log(mg/L),"ECHA, ECHA(14)",7683
529,C19H42N,CCCCCCCCCCCCCCCC[N+](C)(C)C,57-09-0,284.5434875488281,algea,-5.4943322504739935,log(mg/L),"ECHA, NITE, ECOTOX",7684
530,C20H44N,CCCCCCCCCCCCCCCC[N+](C)(C)CC,124-03-8,298.570068359375,algea,-2.577021938695806,log(mg/L),Literature set,7685
531,C21H38N,CCCCCCCCCCCCCCCC[n+]1ccccc1,123-03-5,304.53314208984375,algea,-3.615628992374344,log(mg/L),"ECHA, ECOTOX",7686
532,C17H37NO,CCCCCCCCCCCCCCC[N+](C)(C)[O-],68955-55-5,271.48178100585943,algea,-0.6539264674066639,log(mg/L),ECHA,7687
533,C16H35NO,CCCCCCCCCCCCCC[N+](C)(C)[O-],3332-27-2,257.4552001953125,algea,-0.6931471805599453,log(mg/L),ECHA,7688
534,C13H29N,CCCCCCCCCCCCCN,002869-34-3,199.3760681152344,algea,-2.9187712324178627,log(mg/L),"VEGA, Literature set",7689
