,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source
38,C9H10N2,c1ccc(C2=NCCN2)cc1,936-49-2,146.18910217285156,algea,0.8754687373538999,log(mg/L),ECHA
39,C4H10N2,C1CNCCN1,110-85-0,86.13560485839844,algea,4.705015520957808,log(mg/L),NITE
40,C4H9NO,C1COCCN1,110-91-8,87.120361328125,algea,4.060443010546419,log(mg/L),"ECHA, NITE, ECOTOX"
41,C4H8O2,C1COCCO1,000123-91-1,88.10511779785156,algea,6.908353100251388,log(mg/L),"VEGA, Literature set"
42,C12H12N2,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2764-72-9,184.2370758056641,algea,-2.855970331178832,log(mg/L),"ECOTOX, OASIS, EFSA, VEGA, Literature set"
43,C12H10,c1cc2c3c(cccc3c1)CC2,83-32-9,154.2078094482422,algea,0.3364722366212129,log(mg/L),"NITE, VEGA, Literature set"
44,C6H12N4,C1N2CN3CN1CN(C2)C3,100-97-0,140.186279296875,algea,4.605740023599796,log(mg/L),"VEGA, Literature set"
45,C8H8O,c1ccc(C2CO2)cc1,96-09-3,120.14852142333984,algea,3.219635536214443,log(mg/L),"VEGA, Literature set"
46,C13H10,c1ccc2c(c1)Cc1ccccc1-2,86-73-7,166.218505859375,algea,-0.2744368457017603,log(mg/L),"NITE, Literature set"
47,C2H4,C=C,74-85-1,28.05316162109375,algea,4.279440045898781,log(mg/L),ECHA
48,C4H4O2,C=C1CC(=O)O1,674-82-8,84.0733642578125,algea,1.7047480922384253,log(mg/L),"NITE, VEGA, Literature set"
49,C3H3N,C=CC#N,107-13-1,53.06262207031249,algea,2.302585092994046,log(mg/L),"NITE, VEGA, Literature set"
50,C18H24O4,C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21,42594-17-2,304.3807678222656,algea,0.47000362924573563,log(mg/L),ECHA
51,C12H18O4,C=CC(=O)OCCCCCCOC(=O)C=C,13048-33-4,226.2689208984375,algea,0.4706284340145776,log(mg/L),"VEGA, Literature set"
52,C18H21N3O9,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,40220-08-4,423.37405395507807,algea,3.258096538021482,log(mg/L),"NITE, VEGA, Literature set"
53,C10H10O2,C=CC(=O)OCc1ccccc1,2495-35-4,162.18521118164062,algea,-0.16251892949777494,log(mg/L),ECHA
54,C8H12,C=CC1CC=CCC1,100-40-3,108.1808853149414,algea,1.8164520818184267,log(mg/L),"ECHA, NITE, Literature set"
55,C11H12O2,C=CCCC(=O)Oc1ccccc1,51231-09-5,176.21177673339844,algea,2.4423470353692043,log(mg/L),ECHA
56,C6H10O,C=CCCC1CO1,10353-53-4,98.14300537109376,algea,3.740522687265775,log(mg/L),Literature set
57,C8H14O,C=CCCCCCC=O,21573-31-9,126.19615936279295,algea,1.9671123567059163,log(mg/L),ECHA
58,C6H11N,C=CCNCC=C,124-02-7,97.15824127197266,algea,3.332204510175204,log(mg/L),ECHA
59,C14H20O4,C=CCOC(=O)C1CCCCC1C(=O)OCC=C,13846-31-6,252.30621337890625,algea,3.1755507001298273,log(mg/L),ECHA
60,C12H12O2,C=CCOC(=O)C=Cc1ccccc1,1866-31-5,188.2224884033203,algea,0.26236426446749106,log(mg/L),Literature set
61,C11H12O3,C=CCOC(=O)COc1ccccc1,7493-74-5,192.211181640625,algea,3.214867803470662,log(mg/L),ECHA
62,C14H14O4,C=CCOC(=O)c1ccccc1C(=O)OCC=C,131-17-9,246.2585601806641,algea,2.70805020110221,log(mg/L),"VEGA, Literature set"
63,C12H15N3O3,C=CCOc1nc(OCC=C)nc(OCC=C)n1,101-37-1,249.26580810546872,algea,2.3532782073095637,log(mg/L),ECHA
64,C6H10S2,C=CCSSCC=C,2179-57-9,146.2736053466797,algea,1.8548907506681447,log(mg/L),Literature set
65,C7H10N2O,C=CN1CCN(C=C)C1=O,13811-50-2,138.16709899902344,algea,5.204006687076795,log(mg/L),ECHA
66,C8H14O,C=COC1CCCCC1,2182-55-0,126.19615936279295,algea,2.954910279033736,log(mg/L),ECHA
67,C8H14O2,C=COCCCCOC=C,3891-33-6,142.195556640625,algea,1.5129270120532565,log(mg/L),ECHA
68,C8H8,C=Cc1ccccc1,100-42-5,104.1491241455078,algea,0.3364722366212129,log(mg/L),"Aquatic ECETOC, ECHA, ECOTOX, OASIS, ECOTOX-EPA(11), Literature set, VEGA"
69,C7H7N,C=Cc1ccccn1,100-69-6,105.1371841430664,algea,4.127134385045092,log(mg/L),"ECHA, NITE, Literature set"
70,C7H7N,C=Cc1ccncc1,100-43-6,105.1371841430664,algea,1.5260563034950492,log(mg/L),"NITE, VEGA, Literature set"
71,C14H11N,C=Cn1c2ccccc2c2ccccc21,1484-13-5,193.24383544921875,algea,-3.863232841258714,log(mg/L),"NITE, VEGA, Literature set"
72,C2H3N,CC#N,75-05-8,41.05192184448242,algea,6.55170299829126,log(mg/L),"VEGA, Literature set"
73,C4H5N,C=C(C)C#N,126-98-7,67.08920288085939,algea,3.224857896545748,log(mg/L),"ECHA, NITE"
74,C8H14O2,C=C(C)C(=O)OC(C)(C)C,585-07-9,142.195556640625,algea,3.258096538021482,log(mg/L),ECHA
75,C10H16O2,C=C(C)C(=O)OC1CCCCC1,101-43-9,168.23284912109375,algea,2.5257286443082556,log(mg/L),ECHA
76,C9H8F8O2,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,355-93-1,300.1458435058594,algea,1.4816045409242156,log(mg/L),ECHA
77,C6H7F3O2,C=C(C)C(=O)OCC(F)(F)F,352-87-4,168.11380004882812,algea,3.676300671907076,log(mg/L),"ECHA, NITE, Literature set, VEGA"
78,C11H16O3,C=C(C)C(=O)OCC1CCC2OC2C1,82428-30-6,196.24295043945312,algea,4.131961425793407,log(mg/L),ECHA
79,C10H16O4,C=C(C)C(=O)OCC1COC(C)(C)O1,7098-80-8,200.2316436767578,algea,5.996452088619021,log(mg/L),ECHA
80,C7H10O2,C=CCOC(=O)C(=C)C,000096-05-9,126.15310668945312,algea,4.564348191467836,log(mg/L),"VEGA, Literature set"
81,C12H18O4,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,2082-81-7,226.2689208984375,algea,2.281361456542419,log(mg/L),ECHA
82,C9H14N2O3,C=C(C)C(=O)OCCN1CCNC1=O,86261-90-7,198.21905517578125,algea,6.577861357721047,log(mg/L),ECHA
83,C9H15NO3,C=C(C)C(=O)OCCN1CCOC1,46235-93-2,185.2203063964844,algea,-0.12783337150988489,log(mg/L),ECHA
84,C10H19NO2,C=C(C)C(=O)OCCNC(C)(C)C,3775-90-4,185.26336669921875,algea,4.244200317766478,log(mg/L),ECHA
85,C17H19ClO7,C=C(C)C(=O)OCCOC(=O)c1c(CC(O)CCl)cccc1C(=O)O,54380-33-5,370.78155517578125,algea,3.517497837358316,log(mg/L),ECHA
86,C11H12O2,C=C(C)C(=O)OCc1ccccc1,2495-37-6,176.21177673339844,algea,0.8241754429663494,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
87,C10H10O2,C=C(C)C(=O)Oc1ccccc1,2177-70-0,162.18521118164062,algea,2.1656192379208883,log(mg/L),ECHA
88,C4H7NO,C=C(C)C(N)=O,79-39-0,85.10447692871094,algea,6.908363094225021,log(mg/L),Literature set
89,C4H6O2,C=C(C)C(=O)O,79-41-4,86.08924102783203,algea,3.8066624897703196,log(mg/L),"ECHA, Literature set"
90,C10H14O,C=C(C)C1CC=C(C)C(=O)C1,6485-40-1,150.21755981445312,algea,2.9444389791664403,log(mg/L),ECHA
91,C10H16,C=C(C)C1CC=C(C)CC1,5989-27-5,136.23403930664062,algea,-1.1394342831883648,log(mg/L),"ECHA, ECHA(26), ECOTOX, NITE"
92,C5H8,C=CC(=C)C,78-79-5,68.11701965332031,algea,5.033700567027251,log(mg/L),"NITE, VEGA, Literature set"
93,C8H16,C=C(C)CC(C)(C)C,25167-70-8,112.212646484375,algea,0.4054651081081644,log(mg/L),ECHA
94,C9H10O,C=C(C)c1ccc(O)cc1,4286-23-1,134.17510986328122,algea,1.410986973710262,log(mg/L),"NITE, VEGA, Literature set"
95,C9H10,C=C(C)c1ccccc1,98-83-9,118.17570495605469,algea,2.0943301541735866,log(mg/L),"ECHA, NITE, Literature set"
96,C8H8O4,CC(=O)C1C(=O)C=C(C)OC1=O,520-45-6,168.146728515625,algea,3.4688560301359703,log(mg/L),ECHA
97,C9H12O,CC(=O)C1CC2C=CC1C2,5063-03-6,136.19097900390622,algea,4.6443908991413725,log(mg/L),Literature set
98,C12H22O,CC(=O)CC(C)(C)C1CCCCC1,4927-39-3,182.302490234375,algea,0.7561219797213337,log(mg/L),ECHA
99,C6H12O2,CC(=O)CC(C)(C)O,123-42-2,116.15827941894531,algea,6.908397072988298,log(mg/L),"Literature set, ECOTOX"
100,C12H16O,CC(=O)CC(C)(C)c1ccccc1,7403-42-1,176.2548370361328,algea,3.871201010907891,log(mg/L),ECHA
101,C5H8O2,CC(=O)CC(C)=O,123-54-6,100.1158218383789,algea,4.421487703554795,log(mg/L),"ECHA, ECOTOX, OASIS, ECOTOX(13), ECOTOX-EPA(13), EPAFHM, Literature set"
102,C10H12O,CC(=O)CCc1ccccc1,2550-26-7,148.20169067382812,algea,3.58351893845611,log(mg/L),Literature set
103,C3H6O2,CC(=O)CO,116-09-6,74.07854461669922,algea,4.196299284745094,log(mg/L),ECHA
104,C6H9NO5,CC(=O)NC(CC(=O)O)C(=O)O,997-55-7,175.1393585205078,algea,8.821732380934442,log(mg/L),Literature set
105,C8H10N2O4S,CC(=O)Nc1ccc(N)c(S(=O)(=O)O)c1,96-78-6,230.24099731445312,algea,4.7059200890882344,log(mg/L),ECHA
106,C8H9NO2,CC(=O)Nc1ccc(O)cc1,000103-90-2,151.16256713867188,algea,6.131887140770231,log(mg/L),"VEGA, Literature set"
107,C15H13NO,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,53-96-3,223.2698211669922,algea,0.9932517730102834,log(mg/L),Literature set
108,C8H9NO,CC(=O)Nc1ccccc1,103-84-4,135.16316223144528,algea,5.700443573390687,log(mg/L),Literature set
109,C10H10O2,C=C(OC(C)=O)c1ccccc1,2206-94-2,162.18521118164062,algea,1.0986122886681098,log(mg/L),ECHA
110,C12H20O2,CC(=O)OC(C)(C)C1CC=C(C)CC1,80-26-2,196.2860107421875,algea,2.0149030205422647,log(mg/L),ECHA
111,C12H20O2,CC(=O)OC1C2(C)CCC(C2)C1(C)C,4057-31-2,196.2860107421875,algea,2.458733775483977,log(mg/L),ECHA
112,C12H18O2,CC(=O)OC1CC2CC1C1CCCC21,64001-15-6,194.27012634277344,algea,3.2188758248682006,log(mg/L),"ECHA, ECHA(10)"
113,C12H20O2,CC(=O)OC1CCC2CCCCC2C1,10519-11-6,196.2860107421875,algea,1.873339456220478,log(mg/L),ECHA
114,C12H22O2,CC(=O)OC1CCCCC1C(C)(C)C,20298-69-5,198.30187988281247,algea,1.4350845252893227,log(mg/L),ECHA
115,C4H6O2,C=COC(C)=O,108-05-4,86.08924102783203,algea,2.1804174590198384,log(mg/L),"NITE, VEGA, Literature set"
116,C8H12O4,C=C(COC(C)=O)COC(C)=O,3775-29-9,172.17848205566406,algea,3.9318256327243257,log(mg/L),ECHA
117,C9H14O6,CC(=O)OCC(COC(C)=O)OC(C)=O,102-76-1,218.203857421875,algea,6.846457368057451,log(mg/L),"Literature set, ECHA, NITE"
118,C11H12O2,CC(=O)OCC=Cc1ccccc1,103-54-8,176.21177673339844,algea,2.509599262378372,log(mg/L),ECHA
119,C10H12O2,CC(=O)OCCc1ccccc1,103-45-7,164.20108032226562,algea,3.6888794541139363,log(mg/L),ECHA
120,C9H10O2,CC(=O)OCc1ccccc1,140-11-4,150.17449951171875,algea,4.700480365792417,log(mg/L),"ECHA, ECOTOX"
121,C6H12O3,CC(=O)OOC(C)(C)C,107-71-1,132.15768432617188,algea,1.5686159179138455,log(mg/L),ECHA
122,C8H7NO4,CC(=O)Oc1ccc([N+](=O)[O-])cc1,830-03-5,181.14547729492188,algea,1.47932922708708,log(mg/L),ECHA
123,C8H7NO4,CC(=O)Oc1ccccc1[N+](=O)[O-],610-69-5,181.14547729492188,algea,0.44468582126144574,log(mg/L),ECHA
124,C6H4Cl2OS,CC(=O)c1cc(Cl)sc1Cl,36157-40-1,195.0663604736328,algea,1.9021075263969205,log(mg/L),Literature set
125,C10H8O2,CC(=O)c1cc2ccccc2o1,1646-26-0,160.16932678222656,algea,3.6888794541139363,log(mg/L),ECHA
126,C10H8OS,CC(=O)c1cc2ccccc2s1,22720-75-8,176.23492431640625,algea,1.2809338454620642,log(mg/L),"NITE, VEGA, Literature set"
127,C9H10O,CC(=O)c1ccc(C)cc1,122-00-9,134.17510986328122,algea,3.58351893845611,log(mg/L),ECHA
128,C8H6Cl2O,CC(=O)c1ccc(Cl)cc1Cl,2234-16-4,189.03863525390625,algea,2.6748380668960965,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
129,C14H10Cl2O2,CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1Cl,119851-28-4,281.13400268554693,algea,-1.8971199848858813,log(mg/L),ECHA
