,chemical_formula,smiles,casnum,molecular_weight,species,fish_LC50,units,source
401,C2H8O7P2,CC(O)(P(=O)(O)O)P(=O)(O)O,2809-21-4,206.0282440185547,fish,7.687080155783135,log(mg/L),ECHA
402,C14H12Cl2O,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,80-06-8,267.15048217773443,fish,0.40277954519186054,log(mg/L),"ECOTOX, Literature set"
403,C2H4O2,CC(=O)O,546-89-4,60.05195999145508,fish,5.181783550292085,log(mg/L),"ECHA, EFSA, ECOTOX, OASIS, Literature set"
404,C4H6O,C#CC(C)O,2028-63-9,70.08984375,fish,2.4595888418037104,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set"
405,C14H24O,CC1=CCC(C=CC(C)C(C)O)C1(C)C,67801-20-1,208.3397674560547,fish,0.8329091229351039,log(mg/L),ECHA
406,C3H6O3,CC(O)C(=O)O,79-33-4,90.07794189453124,fish,5.090678001769792,log(mg/L),"VEGA, Literature set"
407,C5H8O,C#CCC(C)O,2117-11-5,84.11642456054688,fish,3.55820113047182,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
408,C6H14O2,CC(O)CC(C)(C)O,107-41-5,118.17416381835938,fish,9.04899722156742,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, ECHA"
409,C10H20O,CC(O)CCC1CCCCC1,10528-67-3,156.26519775390625,fish,2.519308076505333,log(mg/L),ECHA
410,C3H7ClO,CC(O)CCl,127-00-4,94.54007720947266,fish,5.501258210544727,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
411,C3H9NO,CC(O)CN,78-96-6,75.10966491699219,fish,7.830685610490061,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
412,C13H31N3O,CC(O)CN(CCCN(C)C)CCCN(C)C,67151-63-7,245.4047393798828,fish,4.997212273764115,log(mg/L),ECHA
413,C6H15NO2,CC(O)CNCC(C)O,110-97-4,133.18879699707028,fish,7.290292882446597,log(mg/L),ECHA
414,C6H10O3,C=CC(=O)OCC(C)O,999-61-1,130.14179992675778,fish,1.2154208914853304,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
415,C14H26O4,CC(O)COC(=O)OC1CC(C)CCC1C(C)C,260781-16-6,258.35385131835943,fish,2.8390784635086144,log(mg/L),ECHA
416,C21H28O4,CC(O)COc1ccc(C(C)(C)c2ccc(OCC(C)O)cc2)cc1,116-37-0,344.44464111328125,fish,2.3561258599220753,log(mg/L),"ECHA, ECHA(10)"
417,C9H12O2,CC(O)COc1ccccc1,000770-35-4,152.1903839111328,fish,5.634789603169249,log(mg/L),"Literature set, ECHA"
418,C4H10O3S2,CC(O)CSS(C)(=O)=O,30388013,170.25039672851562,fish,3.6428355156125294,log(mg/L),ECOTOX
419,C9H12O,Cc1ccccc1C(C)O,25675-28-9,136.19097900390622,fish,5.135798437050262,log(mg/L),"NITE, VEGA, Literature set"
420,C10H12O2,CC(=O)OC(C)c1ccccc1,93-92-5,164.20108032226562,fish,2.9785861147190205,log(mg/L),ECHA
421,C9H7Cl3O3,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,93-72-1,269.50909423828125,fish,2.6946271807700692,log(mg/L),"ECOTOX, Literature set"
422,C9H8Cl2O3,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,5746-17-8,235.06402587890625,fish,4.04305126783455,log(mg/L),ECOTOX
423,C16H12ClNO5,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,113158400,333.7231750488281,fish,-1.2909841813155656,log(mg/L),ECOTOX
424,C17H13ClFNO4,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,105512069,349.7408142089844,fish,-1.2039728043259361,log(mg/L),ECOTOX
425,C16H18,Cc1ccc(C)c(C(C)c2ccccc2)c1,6165-51-1,210.31411743164062,fish,-1.171182981502945,log(mg/L),"NITE, Literature set"
426,C14H14O2,CC(c1ccccc1)c1ccc(O)cc1O,85-27-8,214.259765625,fish,2.2294766211734074,log(mg/L),ECHA
427,C11H17N3O2,CC(c1ccccc1CNCCN)[N+](=O)[O-],53404-62-9,223.2715759277344,fish,1.1631508098056809,log(mg/L),ECOTOX
428,C13H16N2,Cc1cccc(C(C)c2cnc[nH]2)c1C,86347-14-0,200.279541015625,fish,3.5669593219056144,log(mg/L),"Literature set, VEGA"
429,C10H9Cl7,C=C1C(C)(C)C2(Cl)C(Cl)C1(Cl)C(Cl)(Cl)C2(Cl)Cl,8001-50-1,377.3494567871094,fish,-4.779523573132869,log(mg/L),ECOTOX
430,C22H23NO3,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,39515-41-8,349.42291259765625,fish,-6.061744530556614,log(mg/L),"VEGA, Literature set"
431,C22H19Br4NO3,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1C(Br)C(Br)(Br)Br,66841256,665.0071411132812,fish,-5.936976361823913,log(mg/L),"ECOTOX, VEGA, Literature set"
432,C22H19Br2NO3,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,52918635,505.19915771484375,fish,-6.907755278982137,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
433,C23H19ClF3NO3,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,91465-08-6,449.8500671386719,fish,-6.696684308902197,log(mg/L),"ECOTOX, ECOTOX-EPA(17), VEGA, Literature set"
434,C22H18Cl2FNO3,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,68359-37-5,434.2876281738281,fish,-7.3809640391768205,log(mg/L),"ECOTOX, ECOTOX-EPA(12), Literature set, VEGA"
435,C22H19Cl2NO3,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,52315078,416.29718017578125,fish,-5.599422459331958,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
436,C21H20Cl2O3,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,52645531,391.2877197265625,fish,-5.083205986931091,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
437,C24H28O3,CC1(C)C(C=C2CCCC2)C1C(=O)OCc1coc(Cc2ccccc2)c1,22431-62-5,364.4773254394531,fish,-8.111728083308073,log(mg/L),"VEGA, Literature set"
438,C10H8Cl8,CC1(C)C2C(C(Cl)(Cl)Cl)=C(Cl)C(Cl)(Cl)C1(Cl)C2Cl,25267-15-6,411.7945251464844,fish,-4.422848629194137,log(mg/L),ECOTOX
439,C8H9Br3O2,CC1(C)C2C(=O)OC(C(Br)(Br)Br)C21,87305-03-1,376.8678588867188,fish,1.0296194171811581,log(mg/L),ECHA
440,C10H16,C=C1CCC2CC1C2(C)C,127-91-3,136.23403930664062,fish,-0.6891551592904078,log(mg/L),"ECHA, ECOTOX, OASIS"
441,C11H18O,CC1(C)C2CC=C(CCO)C1C2,35836-73-8,166.26002502441406,fish,2.4069451083182885,log(mg/L),ECHA
442,C10H16,C=C1C2CCC(C2)C1(C)C,79-92-5,136.23403930664062,fish,0.1570037488096647,log(mg/L),"ECHA, ECOTOX"
443,C10H16O,CC12CCC(CC1=O)C2(C)C,464-49-3,152.2334442138672,fish,2.8379172522758043,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM"
444,C10H15BrO,CC12CCC(C(Br)C1=O)C2(C)C,10293-06-8,231.12950134277344,fish,4.22683374526818,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
445,C13H20O2,C=CC(=O)OC1CC2CCC1(C)C2(C)C,5888-33-5,208.2967071533203,fish,-0.35097692282409454,log(mg/L),ECHA
446,C10H18O,CC1(C)C2CCC1(C)C(O)C2,124-76-5,154.24932861328125,fish,4.140520575950626,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM"
447,C8H12O2,CC1(C)CC(=O)CC(=O)C1,126-81-8,140.1796875,fish,9.350102314351341,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
448,C9H16NO2,CC1(C)CC(=O)CC(C)(C)N1[O],2896-70-0,170.2288360595703,fish,4.48863636973214,log(mg/L),ECHA
449,C10H15NO,CC1(C)CC(=O)CC(C)(C#N)C1,7027-11-4,165.23220825195312,fish,4.290459441148391,log(mg/L),ECHA
450,C9H19NO,CC1(C)CC(O)CC(C)(C)N1,2403-88-5,157.25326538085938,fish,5.4680601411351315,log(mg/L),"ECHA, NITE"
451,C9H18NO2,CC1(C)CC(O)CC(C)(C)N1[O],2226-96-2,172.24472045898438,fish,6.300785794663244,log(mg/L),ECHA
452,C8H16O,CC1(C)CCC(C)(C)O1,15045-43-9,128.2120361328125,fish,5.123963979403259,log(mg/L),"NITE, VEGA, Literature set"
453,C17H22ClN3O,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,125116-23-6,319.8290710449219,fish,1.1939224684724346,log(mg/L),"EFSA, ECOTOX"
454,C25H24F6N4,CC1(C)CNC(=NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1,67485-29-4,494.4752807617188,fish,-2.577021938695806,log(mg/L),"ECOTOX, Literature set"
455,C5H11NO,CC1(C)COCN1,51200874,101.14694213867188,fish,4.55597994179732,log(mg/L),ECOTOX
456,C12H14ClNO2,CC1(C)CON(Cc2ccccc2Cl)C1=O,81777-89-1,239.69805908203125,fish,3.5263605246161616,log(mg/L),"Literature set, ECOTOX"
457,C5H6Br2N2O2,CC1(C)C(=O)N(Br)C(=O)N1Br,77485,285.92132568359375,fish,-0.8556661100577202,log(mg/L),ECOTOX
458,C5H6Cl2N2O2,CC1(C)C(=O)N(Cl)C(=O)N1Cl,118-52-5,197.0193328857422,fish,0.4824261492442928,log(mg/L),"Literature set, ECOTOX"
459,C5H8N2O2,CC1(C)NC(=O)NC1=O,77-71-4,128.12922668457028,fish,9.711115659888671,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
460,C20H30O2,C=CC1(C)CCC2C(=CCC3C(C)(C(=O)O)CCCC23C)C1,5835-26-7,302.4510192871094,fish,-0.13926206733350766,log(mg/L),"ECOTOX, OASIS, EPAFHM, VEGA, Literature set"
461,C14H17Cl2NO2,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,126833-17-8,302.1962890625,fish,0.27763173659827955,log(mg/L),"EFSA, ECOTOX"
462,C12H9Cl2NO3,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,50471-44-8,286.1107482910156,fish,3.2256528091472245,log(mg/L),"Literature set, ECOTOX"
463,C22H18N2O4,CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,131807-57-3,374.3893127441406,fish,-4.382026634673881,log(mg/L),"EFSA, Literature set"
464,C10H18O,CC12CCC(CC1)C(C)(C)O2,470-82-6,154.24932861328125,fish,3.9512437185814275,log(mg/L),"NITE, VEGA, Literature set"
465,C19H24O2,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(=O)CCC12,897-06-3,284.3926696777344,fish,3.1484533605716547,log(mg/L),ECHA
466,C19H26O2,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,63-05-8,286.4085388183594,fish,2.1528081676758175,log(mg/L),ECHA
467,C20H24O2,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,57-63-6,296.40338134765625,fish,0.5306282510621704,log(mg/L),ECOTOX
468,C15H24,C=C1C2CCC3C2C(C)(C)CCCC13C,475-20-7,204.3510589599609,fish,2.322387720290225,log(mg/L),"ECOTOX, Literature set"
469,C12H13NO4S,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,5259881,267.30093383789057,fish,3.1780538303479458,log(mg/L),ECOTOX
470,C12H13NO2S,CC1=C(C(=O)Nc2ccccc2)SCCO1,5234-68-4,235.3021240234375,fish,1.0647107369924282,log(mg/L),"Literature set, ECOTOX"
471,C9H14O,CC1=CC(=O)CC(C)(C)C1,78-59-1,138.20686340332028,fish,5.429345628954441,log(mg/L),"NITE, VEGA, Literature set"
472,C9H12O2,CC1=CC(=O)CC(C)(C)C1=O,1125-21-9,152.1903839111328,fish,5.75526741734471,log(mg/L),ECHA
473,C11H8O2,CC1=CC(=O)c2ccccc2C1=O,58-27-5,172.18002319335938,fish,-2.2072749131897207,log(mg/L),"ECHA, NITE, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
474,C10H16,CC1=CCC2CC1C2(C)C,80-56-8,136.23403930664062,fish,-1.2729656758128873,log(mg/L),"VEGA, Literature set"
475,C11H12N2O,CC1=NN(c2ccc(C)cc2)C(=O)C1,86-92-0,188.2257843017578,fish,3.768152635008444,log(mg/L),ECHA
476,C16H26O2,CC1C(C)(C)C2=C(C3OCOCC3CC2)C1(C)C,365411-50-3,250.3764495849609,fish,1.7404661748405046,log(mg/L),ECHA
477,C16H24N2,CC1C(C)(C)C2CCc3cncnc3C2C1(C)C,1392325-86-8,244.3751678466797,fish,-0.4462871026284195,log(mg/L),ECHA
478,C17H21ClN2O2S,CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,78587-05-0,352.87884521484375,fish,1.8025345423960135,log(mg/L),"EFSA, ECOTOX"
479,C11H21N,CC1C(CN)CC2CC1C2(C)C,57357-85-4,167.2911376953125,fish,1.6094379124341003,log(mg/L),ECHA
480,C16H28O,CC1C2CC(CC2C2CCC(O)CC2)C1(C)C,66068-84-6,236.39292907714844,fish,1.8562979903656263,log(mg/L),ECHA
481,C13H22O2,C=C(C)C(=O)OC1CC(C)CC(C)(C)C1,7779-31-9,210.3125915527344,fish,0.6418538861723947,log(mg/L),ECHA
482,C12H20O2,C=CC(=O)OC1CC(C)CC(C)(C)C1,86178-38-3,196.2860107421875,fish,0.6418538861723947,log(mg/L),ECHA
483,C15H30N2,CC1CC(CC2CCC(N)C(C)C2)CCC1N,6864-37-5,238.412109375,fish,3.109060958860994,log(mg/L),"ECHA, NITE, Literature set"
484,C18H22O3S,CC1Cc2c3c(c4c(c2S(=O)(=O)O1)C1(CC1C)C4C)CC3C,11067-81-5,318.43048095703125,fish,2.772588722239781,log(mg/L),ECOTOX
485,C7H12O,CC1CCC(=O)CC1,589-92-4,112.16958618164062,fish,4.356708826689592,log(mg/L),ECHA
486,C17H26O,CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,32388-55-9,246.3877410888672,fish,0.9745596399981308,log(mg/L),"Literature set, ECHA"
487,C10H18,CC1CCC2CC1C2(C)C,10281-53-5,138.24992370605472,fish,1.7404661748405046,log(mg/L),ECOTOX
488,C7H14,CC1CCCCC1,108-87-2,98.18606567382812,fish,0.7419373447293773,log(mg/L),"NITE, Literature set, VEGA"
489,C8H16,CC1CCCCC1C,2207-01-4,112.212646484375,fish,1.9459101490553132,log(mg/L),ECOTOX
490,C9H16O2,CC(=O)OC1CCCCC1C,5726-19-2,156.22213745117188,fish,2.6390573296152584,log(mg/L),ECHA
491,C16H21Cl2NO2,CC1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1,3478-94-2,330.24945068359375,fish,-0.2613647641344075,log(mg/L),"Literature set, ECOTOX"
492,C10H18O,CC(C)=CC1CC(C)CCO1,16409-43-1,154.24932861328125,fish,4.351567427189173,log(mg/L),ECHA
493,C10H12N2O,CC1CN(c2ccccc2)NC1=O,2654-57-1,176.215087890625,fish,-0.4700036292457356,log(mg/L),ECHA
494,C6H13NO,CC1CNCC(C)O1,141-91-3,115.17352294921876,fish,5.958424693029782,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
495,C5H12N2,CC1CNCCN1,109-07-9,100.16217803955078,fish,7.7142311448490855,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
496,C3H6O,CC1CO1,75-56-9,58.079139709472656,fish,3.4631086119037082,log(mg/L),OASIS
497,C19H17Cl2N3O3,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,119446-68-3,406.2625732421875,fish,-6.412449466874183,log(mg/L),"ECOTOX, ECOTOX-EPA(12)"
498,C11H11Cl2NO2,CC1COc2ccccc2N1C(=O)C(Cl)Cl,98730-04-2,260.11654663085943,fish,1.8718021769015913,log(mg/L),"ECHA, ECHA(10)"
499,C6H12O3,CC1OC(C)OC(C)O1,123-63-7,132.15768432617188,fish,7.200424892944957,log(mg/L),ECHA
500,C8H16O4,CC1OC(C)OC(C)OC(C)O1,108623,176.21023559570312,fish,4.182050142641207,log(mg/L),ECOTOX
501,C5H10,CC=C(C)C,513-35-9,70.13290405273439,fish,1.6074359097634274,log(mg/L),ECHA
502,C9H12,CC=C1CC2C=CC1C2,16219-75-3,120.19158172607422,fish,1.9459101490553132,log(mg/L),"NITE, VEGA, Literature set"
503,C13H18O,CC=CC(=O)C1=C(C)C=CCC1(C)C,23726-93-4,190.2814178466797,fish,0.08617769624105241,log(mg/L),ECHA
504,C13H20O,CC=CC(=O)C1C(C)C=CCC1(C)C,71048-82-3,192.29730224609372,fish,-0.030459207484708574,log(mg/L),ECHA
505,C11H20O,CC=CC(C)(O)CCC=C(C)C,89929-57-7,168.27590942382812,fish,2.424802725718295,log(mg/L),ECHA
506,C4H6O2,CC=CC(=O)O,107-93-7,86.08924102783203,fish,3.4339872044851463,log(mg/L),ECHA
507,C5H8,C=CC=CC,504609,68.11701965332031,fish,2.9317802470614738,log(mg/L),Literature set
508,C6H10,CC=CC=CC,592-46-1,82.14360046386719,fish,3.003840897173467,log(mg/L),"ECOTOX, OASIS, EPAFHM, VEGA, Literature set"
509,C6H8O2,CC=CC=CC(=O)O,110-44-1,112.12652587890624,fish,4.31748811353631,log(mg/L),"ECHA, NITE, VEGA, Literature set"
510,C4H6O,CC=CC=O,4170-30-3,70.08984375,fish,-0.342490308946776,log(mg/L),"ECOTOX, NITE, OASIS, Literature set, ECHA, VEGA"
511,C4H7Cl,CC=CCCl,591-97-9,90.55137634277344,fish,1.7888029605944604,log(mg/L),OASIS
512,C4H8O,CC=CCO,6117-91-5,72.10572052001953,fish,1.3862943611198906,log(mg/L),"NITE, VEGA, Literature set"
513,C2H5NO,CC=NO,107-29-9,59.06719970703125,fish,4.330733340286331,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
514,C2H4O,CC=O,75-07-0,44.05255889892578,fish,3.5551067968816685,log(mg/L),"NITE, VEGA, Literature set"
515,C6H10O,CC=C(C=O)CC,19780-25-7,98.14300537109376,fish,2.0305194637045765,log(mg/L),OASIS
516,C17H24ClNO4,CCC(=NOCC=CCl)C1=C(O)CC(C2CCOCC2)CC1=O,149979419,341.82977294921875,fish,4.355425952876702,log(mg/L),ECOTOX
517,C14H22O,CCC(=O)C=CC1C(C)=CCCC1(C)C,001335-46-2,206.32388305664062,fish,1.0986122886681098,log(mg/L),"VEGA, Literature set"
518,C5H10O,CCC(=O)CC,96-22-0,86.1323013305664,fish,7.3395376954076745,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
519,C9H9Cl2NO,CCC(=O)Nc1ccc(Cl)c(Cl)c1,709-98-8,218.07986450195312,fish,2.151762203259462,log(mg/L),"VEGA, Literature set"
520,C4H8O2,CCC(=O)OC,554121,88.10511779785156,fish,7.034400264641192,log(mg/L),Literature set
521,C13H22O2,CCC(=O)OC1CC2CCC1(C)C2(C)C,2756-56-1,210.3125915527344,fish,2.2925347571405443,log(mg/L),ECHA
522,C15H26O4,CCC(=O)OCC(=O)OC(C)C1CCCC(C)(C)C1,236391-76-7,270.36453247070307,fish,0.47000362924573563,log(mg/L),ECHA
523,C17H32O3,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1,141773-73-1,284.4341735839844,fish,1.2809338454620642,log(mg/L),ECHA
524,C8H16O2,CCC(=O)OCCC(C)C,105-68-0,144.21144104003906,fish,1.55814461804655,log(mg/L),ECHA
525,C10H12O2,CCC(=O)OCc1ccccc1,122-63-4,164.20108032226562,fish,1.2781522025001875,log(mg/L),ECHA
526,C9H11NO,CCC(=O)c1ccc(N)cc1,70699,149.1897430419922,fish,4.983606621708336,log(mg/L),"ECOTOX, EPAFHM, Literature set, VEGA"
527,C11H20O,CCC(C)(C)C1CCC(=O)CC1,16587-71-6,168.27590942382812,fish,1.3862943611198906,log(mg/L),ECHA
528,C13H24O2,CCC(C)(C)C1CCCCC1OC(C)=O,67874-72-0,212.32846069335938,fish,1.7227665977411035,log(mg/L),ECHA
529,C6H14O,CCC(C)(C)OC,994-05-8,102.1747589111328,fish,6.491254501253708,log(mg/L),ECHA
530,C16H26O,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,120-95-6,234.37704467773438,fish,-1.2378743560016174,log(mg/L),"NITE, VEGA, Literature set"
531,C11H16O,CCC(C)(C)c1ccc(O)cc1,80-46-6,164.244140625,fish,0.9484505682928472,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, ECHA"
532,C14H16Cl3NO2,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,156052685,336.6413269042969,fish,-1.8578992717326,log(mg/L),ECOTOX
533,C6H10O,C#CC(C)(O)CC,000077-75-8,98.14300537109376,fish,7.097069827713054,log(mg/L),"VEGA, Literature set"
534,C6H14O,CCC(C)(O)CC,77-74-7,102.1747589111328,fish,6.51025834052315,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
535,C10H20O,CCC(C)(O)CCC=C(C)C,18479-51-1,156.26519775390625,fish,3.7376696182833684,log(mg/L),ECHA
536,C10H22O,CCC(C)(O)CCCC(C)C,78-69-3,158.2810821533203,fish,2.186051276738094,log(mg/L),ECHA
537,C11H18O,C#CC(C)(O)CCC=C(C)CC,24173-47-5,166.26002502441406,fish,2.5649493574615367,log(mg/L),ECHA
538,C11H20O,C=CC(C)(O)CCC=C(C)CC,10339-55-6,168.27590942382812,fish,3.258096538021482,log(mg/L),ECHA
539,C4H9NO,CCC(C)=NO,96-29-7,87.120361328125,fish,6.736966958001855,log(mg/L),"ECHA, NITE, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
540,C4H8O,CCC(C)=O,78-93-3,72.10572052001953,fish,8.0040315078527,log(mg/L),"NITE, VEGA, Literature set"
541,C7H14O,CCC(C)C(C)C=O,3944-76-1,114.18546295166016,fish,2.772588722239781,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
542,C5H10O,CCC(C)C=O,96-17-3,86.1323013305664,fish,2.299580583973747,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
543,C8H14O2,C=CC(=O)OCC(C)CC,44914-03-6,142.195556640625,fish,0.08617769624105241,log(mg/L),ECHA
544,C4H9Cl,CCC(C)Cl,78-86-4,92.5672607421875,fish,4.448516375942715,log(mg/L),ECHA
545,C4H11N,CCC(C)N,13952-84-6,73.1368408203125,fish,5.616771097666572,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
546,C14H21N3O4,CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],33629479,295.334228515625,fish,-0.3783364407199117,log(mg/L),ECOTOX
547,C4H10O,CCC(C)O,000078-92-2,74.1216049194336,fish,8.03491420734262,log(mg/L),"VEGA, Literature set"
548,C12H23NO3,CCC(C)OC(=O)N1CCCCC1CCO,119515-38-7,229.31591796875,fish,5.151236491932078,log(mg/L),"Literature set, VEGA"
549,C16H17N3O4S,CCC(C)c1cc(S(=O)(=O)O)cc(-n2nc3ccccc3n2)c1O,92484-48-5,347.3888854980469,fish,6.040254711277414,log(mg/L),ECHA
550,C10H12N2O5,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,88-85-7,240.21267700195312,fish,-0.8915981192837836,log(mg/L),"NITE, OASIS, VEGA, Literature set"
551,C15H18N2O6,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,485-31-4,322.313232421875,fish,-3.101092789211817,log(mg/L),ECOTOX
552,C14H18N2O7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)OC(C)C,973-21-7,326.3019104003906,fish,-4.382026634673881,log(mg/L),ECOTOX
553,C11H14N2O5,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC,006099-79-2,254.2392578125,fish,0.33489722928777965,log(mg/L),Literature set
554,C10H14O,CCC(C)c1ccc(O)cc1,99-71-8,150.21755981445312,fish,0.9555114450274363,log(mg/L),"NITE, VEGA, Literature set"
555,C18H21NO2S,CCC(C)c1cccc(OC(=O)N(C)Sc2ccccc2)c1,25474-41-3,315.4298400878906,fish,-3.2441936328524905,log(mg/L),Literature set
556,C10H14O,CCC(C)c1ccccc1O,89-72-5,150.21755981445312,fish,1.791759469228055,log(mg/L),"ECHA, NITE, Literature set, VEGA"
557,C12H17NO2,CCC(C)c1ccccc1OC(=O)NC,3766-81-2,207.26889038085938,fish,2.0533480374596516,log(mg/L),"NITE, VEGA, Literature set"
558,C9H13BrN2O2,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,314-40-9,261.11572265625,fish,5.217255109009213,log(mg/L),"VEGA, Literature set"
559,C18H34O6,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,000095-08-9,346.4589538574219,fish,2.2379398995005144,log(mg/L),"VEGA, Literature set"
560,C6H12O2,CCC(CC)C(=O)O,88-09-5,116.1582794189453,fish,4.442651256490317,log(mg/L),"NITE, VEGA, Literature set"
561,C6H12O,CCC(C=O)CC,97-96-1,100.15888214111328,fish,2.050852328417359,log(mg/L),OASIS
562,C13H23ClO,CCC(CC)CC1(C(=O)Cl)CCCCC1,211515-46-7,230.7741241455078,fish,2.5855058483441162,log(mg/L),ECHA
563,C13H19N3O4,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],40487-42-1,281.30767822265625,fish,-1.7808195291897206,log(mg/L),"VEGA, Literature set"
564,C8H16N2O3,CCC(CN1CCOCC1)[N+](=O)[O-],2224444,188.2242431640625,fish,-0.23572233352106983,log(mg/L),ECOTOX
565,C9H18O3,C=CCOCC(CC)(CO)CO,682-11-1,174.2374267578125,fish,7.090076835776092,log(mg/L),ECHA
566,C18H26O6,C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,3290-92-4,338.39544677734375,fish,1.0986122886681098,log(mg/L),ECHA
567,C15H20O6,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,15625-89-5,296.3157043457031,fish,-0.13926206733350766,log(mg/L),ECHA
568,C15H26O6S3,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,33007-83-9,398.558349609375,fish,-2.823461052613538,log(mg/L),ECHA
569,C3H6Cl2,CCC(Cl)Cl,78-99-9,112.9857406616211,fish,4.584967478670572,log(mg/L),"Aquatic ECETOC, ECOTOX, OASIS, VEGA, Literature set"
570,C3H6O2,CCC(=O)O,79094,74.07854461669922,fish,8.38778932504689,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set, EPAFHM"
571,C6H14O2,CCC(O)C(C)CO,149-31-5,118.17416381835938,fish,9.077360594658245,log(mg/L),"ECOTOX, Literature set, VEGA"
572,C5H12O,CCC(O)CC,000584-02-1,88.14817810058594,fish,6.895375434806909,log(mg/L),"VEGA, Literature set"
