id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1,7343,"daphnia, fish",0.33,0.15,"",mg/L,"NITE, VEGA, Literature set"
2,2,"daphnia, fish",45.9871052404145,23.5,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
3,7344,fish,"",0.55,"",mg/L,"ECOTOX, Literature set"
4,7345,fish,"",0.437,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
5,7346,"alga, daphnia, fish",1.3,1.3,0.415,mg/L,"NITE, Literature set"
6,7347,"daphnia, fish",21.0,12.0,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
7,7348,"daphnia, fish",12.3822560418569,12.4,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
8,4439,"alga, daphnia",6.1,"",50.4,mg/L,ECHA
9,7349,fish,"",0.1195,"",mg/L,ECOTOX
10,7350,"daphnia, fish",1.134,2.90016400825327,"",mg/L,"VEGA, Literature set"
11,7351,"alga, daphnia, fish",4.2,1.45,2.4,mg/L,"NITE, ECOTOX, OASIS, Literature set"
12,7352,fish,"",205.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
13,12,daphnia,10.0,"","",mg/L,ECHA
14,7353,alga,"","",18.92,mg/L,"Literature set"
15,13,"alga, daphnia, fish",11.61,1.86,25.94,mg/L,"ECHA, ECOTOX"
16,7354,"alga, daphnia, fish",8.8,2.11391840057142,35.0,mg/L,"NITE, VEGA, Literature set"
17,7355,daphnia,28.9,"","",mg/L,ECHA
18,7356,"alga, daphnia",1.2,"",6.555,mg/L,"Literature set"
19,7357,alga,"","",3.78,mg/L,"Literature set"
20,7358,"daphnia, fish",3.8,6.2,"",mg/L,"NITE, Literature set"
21,7359,fish,"",1410.0,"",mg/L,ECOTOX
22,7360,"alga, daphnia",3.96,"",0.012,mg/L,"Literature set, ECOTOX"
23,7361,fish,"",6.8,"",mg/L,ECHA
24,7362,fish,"",1.226637152,"",mg/L,"ECOTOX, Literature set"
25,7363,daphnia,2.5,"","",mg/L,ECHA
26,7364,daphnia,0.01112,"","",mg/L,ECOTOX
27,7365,daphnia,0.00261,"","",mg/L,ECOTOX
28,7366,alga,"","",0.24,mg/L,"Literature set"
29,7367,daphnia,0.00789,"","",mg/L,ECOTOX
30,7368,daphnia,0.11071,"","",mg/L,ECOTOX
31,7369,"alga, daphnia, fish",0.17,0.67,0.295,mg/L,"VEGA, Literature set"
32,7370,fish,"",20.4,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
33,7371,fish,"",3.915,"",mg/L,"Literature set"
34,7,"alga, fish","",4.3,12.0,mg/L,"NITE, VEGA, Literature set"
35,7372,alga,"","",0.106,mg/L,ECHA
36,7373,fish,"",4.05,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
37,7374,fish,"",6.19,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
38,7375,"alga, daphnia",6.42,"",21.8,mg/L,ECHA
39,9,fish,"",6.75544193853555,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
40,7376,fish,"",296.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
41,7377,fish,"",0.12,"",mg/L,"ECOTOX(76), OASIS, ECOTOX-EPA(70), ECHA"
42,7378,fish,"",354.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set"
43,7379,"daphnia, fish",18.0,5.4,"",mg/L,ECHA
44,7380,"alga, daphnia",28.0,"",22.0,mg/L,ECHA
45,18,fish,"",6.65078023123906,"",mg/L,OASIS
46,7381,"alga, daphnia",2.28,"",5.31,mg/L,ECHA
47,3560,"alga, fish","",33.5,93.058,mg/L,"VEGA, Literature set, NITE, ECHA"
48,7382,"daphnia, fish",5.1,4.8,"",mg/L,ECHA
49,7383,"alga, daphnia",0.81,"",1.8,mg/L,ECHA
50,7384,"alga, daphnia",0.39,"",8.2,mg/L,ECHA
51,7385,fish,"",151.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
52,7386,"alga, daphnia",4.9,"",5.7,mg/L,ECHA
53,7387,"daphnia, fish",13.4,21.4,"",mg/L,"EFSA, ECOTOX"
54,7388,"alga, daphnia, fish",9.7,21.4,18.8,mg/L,ECHA
55,7389,fish,"",3.8,"",mg/L,ECOTOX
56,7390,daphnia,10.536,"","",mg/L,"Literature set"
57,7391,daphnia,0.64,"","",mg/L,ECOTOX
58,7392,"daphnia, fish",1.4,4.6,"",mg/L,"NITE, Literature set"
59,7393,"alga, daphnia, fish",0.77,6.8,2.85,mg/L,"NITE, VEGA, Literature set"
60,7394,daphnia,1.0,"","",mg/L,ECHA
61,7395,daphnia,15.75,"","",mg/L,ECHA
62,7396,alga,"","",31.0,mg/L,"Literature set"
63,7397,fish,"",0.280142435088712,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
64,7398,"alga, daphnia, fish",0.73,4.4,7.55,mg/L,"NITE, VEGA, Literature set"
65,7399,daphnia,2.2,"","",mg/L,ECHA
66,7400,"alga, daphnia",76.0,"",120.0,mg/L,ECHA
67,7401,"alga, daphnia, fish",7.3,10.0,24.7,mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
68,7402,fish,"",9.0,"",mg/L,"ECOTOX, Literature set"
69,7403,"daphnia, fish",0.52,0.51,"",mg/L,"ECHA, Literature set"
70,7404,"alga, daphnia, fish",0.87,13.0,8.2,mg/L,"NITE, VEGA, Literature set"
71,7405,daphnia,0.71,"","",mg/L,ECHA
72,7406,"daphnia, fish",8.0,12.0,"",mg/L,"ECHA, NITE, Literature set"
73,7407,"daphnia, fish",0.79,2.1,"",mg/L,"ECHA, NITE, VEGA, Literature set"
74,7408,"alga, fish","",1.2,0.69,mg/L,"ECHA, NITE, Literature set"
75,104,fish,"",0.37,"",mg/L,"NITE, Literature set"
76,7409,"daphnia, fish",2.1,5.8,"",mg/L,"ECHA, ECOTOX, NITE, OASIS, Literature set"
77,5241,"daphnia, fish",10.8617580194361,27.285,"",mg/L,"OASIS, Literature set"
78,7410,"daphnia, fish",24.0,199.77,"",mg/L,"VEGA, Literature set"
79,106,"alga, daphnia, fish",0.9,33.715,9.317,mg/L,"ECHA, OASIS, ECOTOX, EPAFHM, VEGA, Literature set"
80,107,alga,"","",88.0,mg/L,ECHA
81,4929,"alga, daphnia, fish",63.0,131.0,39.0,mg/L,ECHA
82,110,"alga, daphnia",19.0,"",106.0,mg/L,ECHA
83,111,fish,"",2160.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, ECHA, VEGA"
84,4620,daphnia,24.0,"","",mg/L,ECHA
85,7411,"alga, daphnia",205.92,"",588.3,mg/L,ECHA
86,7412,"alga, daphnia, fish",9.5,5.5,11.0,mg/L,"ECHA, NITE, Literature set"
87,7413,"alga, daphnia, fish",11.0,37.0,51.5,mg/L,"NITE, VEGA, Literature set"
88,7414,"alga, daphnia, fish",8.1,16.0,1.82,mg/L,ECHA
89,7415,"alga, fish","",0.489707102638193,0.81,mg/L,"NITE, Literature set"
90,7416,fish,"",3.483,"",mg/L,"Literature set"
91,117,alga,"","",8.85,mg/L,ECHA
92,5233,fish,"",1730.0,"",mg/L,"ECOTOX, EPAFHM, Literature set, VEGA"
93,7417,"alga, daphnia, fish",26.0,43.0,2.4,mg/L,ECHA
94,7418,daphnia,18.0,"","",mg/L,ECHA
95,120,alga,"","",110.5,mg/L,NITE
96,122,"daphnia, fish",210.844979557747,83.9868605696381,"",mg/L,"OASIS, VEGA, Literature set"
97,7419,daphnia,63.6,"","",mg/L,ECHA
98,124,"alga, daphnia, fish",44.5,350.0,58.0,mg/L,"ECHA, NITE, ECOTOX"
99,4937,"alga, daphnia, fish",1.5,10208.127,1000.598,mg/L,"VEGA, Literature set"
100,7420,daphnia,13.0,"","",mg/L,ECHA
101,7421,"alga, daphnia, fish",1.2,32.0976667992527,0.0575,mg/L,"ECOTOX, OASIS, EFSA, VEGA, Literature set"
102,7422,"alga, fish","",1.7,1.4,mg/L,"NITE, VEGA, Literature set"
103,7423,fish,"",13.8729847592506,"",mg/L,"Literature set"
104,7424,daphnia,25.9,"","",mg/L,ECHA
105,7425,fish,"",81.7,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
106,7426,daphnia,72.0,"","",mg/L,ECHA
107,7427,alga,"","",100.057,mg/L,"VEGA, Literature set"
108,7428,"daphnia, fish",58.0,15.0,"",mg/L,"NITE, VEGA, Literature set"
109,7429,"alga, daphnia, fish",1.9,8.8,25.019,mg/L,"VEGA, Literature set"
110,7430,fish,"",94.23,"",mg/L,ECHA
111,7431,fish,"",5950.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
112,7432,daphnia,0.008910129536,"","",mg/L,ECOTOX
113,7433,"alga, daphnia, fish",0.49,0.82,0.76,mg/L,"NITE, Literature set"
114,7434,daphnia,20.3,"","",mg/L,"ECOTOX, VEGA, Literature set"
115,7435,alga,"","",72.2,mg/L,ECHA
116,7436,daphnia,1.9,"","",mg/L,ECHA
117,24,"alga, daphnia, fish",2.6,8.8,5.5,mg/L,"NITE, VEGA, Literature set"
118,25,"alga, daphnia, fish",2.5,9.65,10.0,mg/L,"NITE, VEGA, Literature set"
119,26,fish,"",239.843121514603,"",mg/L,"Literature set, NITE, VEGA"
120,3968,fish,"",1.48,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
121,7437,"alga, daphnia, fish",2.36,1.65,1.6,mg/L,ECHA
122,7438,"daphnia, fish",2.64,1.8,"",mg/L,ECHA
123,7439,"daphnia, fish",37.7,7.32,"",mg/L,ECHA
124,7440,fish,"",0.1489,"",mg/L,ECHA
125,5845,"alga, daphnia, fish",2.7,0.38,1.601,mg/L,"VEGA, Literature set"
126,6512,daphnia,4.59,"","",mg/L,ECHA
127,7441,"daphnia, fish",3.52,1.05,"",mg/L,ECHA
128,6789,daphnia,126.0,"","",mg/L,ECHA
129,7442,"daphnia, fish",2.624,1.6615,"",mg/L,ECHA
130,7443,"alga, daphnia, fish",158.3,6.79103188130809,26.0,mg/L,"NITE, VEGA, Literature set"
131,7444,"alga, daphnia",4.0,"",0.85,mg/L,ECHA
132,7445,"daphnia, fish",7.3,7.6,"",mg/L,ECHA
133,7446,"alga, daphnia, fish",1.9,4.6,6.15,mg/L,"ECHA, NITE, Literature set"
134,7447,daphnia,0.965,"","",mg/L,ECHA
135,4475,fish,"",65.0,"",mg/L,"NITE, Literature set, VEGA"
136,46,fish,"",182.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
137,7448,"alga, daphnia, fish",1.23,2.12,11.5,mg/L,ECHA
138,7449,alga,"","",42.12,mg/L,"Literature set"
139,7450,"alga, daphnia",8.24,"",7.15,mg/L,ECHA
140,7451,fish,"",0.29,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
141,7452,daphnia,1.3,"","",mg/L,ECHA
142,54,"alga, fish","",30.0,28.0,mg/L,ECHA
143,7453,fish,"",35.9,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
144,7454,"alga, daphnia",24.03,"",23.94,mg/L,ECHA
145,7096,alga,"","",1.3,mg/L,"Literature set"
146,7455,"daphnia, fish",11.3,0.205,"",mg/L,ECHA
147,5605,"alga, daphnia, fish",2.07,0.133,24.9,mg/L,ECHA
148,7456,"daphnia, fish",5.5,0.23,"",mg/L,ECHA
149,56,"alga, daphnia, fish",16.0,0.44,15.0,mg/L,"VEGA, Literature set"
150,4542,"daphnia, fish",50.0,36.0,"",mg/L,ECHA
151,4360,"alga, daphnia, fish",40.0,10.86,10.52,mg/L,ECHA
152,7281,alga,"","",6.391,mg/L,"Literature set"
153,6481,daphnia,340.0,"","",mg/L,ECHA
154,7457,fish,"",312.5,"",mg/L,ECHA
155,7458,"alga, daphnia",12.3,"",182.0,mg/L,ECHA
156,7459,daphnia,142.0,"","",mg/L,ECHA
157,69,daphnia,10.0,"","",mg/L,ECHA
158,7460,"alga, daphnia",42.0,"",19.2,mg/L,ECHA
159,7461,"alga, daphnia",20.3,"",4.54,mg/L,ECHA
160,71,daphnia,235.0,"","",mg/L,ECHA
161,7462,daphnia,0.3,"","",mg/L,ECHA
162,38,"alga, daphnia, fish",4.7,10.0,1.4,mg/L,"Aquatic ECETOC, ECHA, ECOTOX, OASIS, ECOTOX-EPA(11), Literature set, VEGA"
163,39,"alga, daphnia, fish",9.48,6.5,62.0,mg/L,"ECHA, NITE, Literature set"
164,40,"alga, daphnia, fish",1.2,1.0,4.6,mg/L,"NITE, VEGA, Literature set"
165,7463,"alga, fish","",0.0032,0.021,mg/L,"NITE, VEGA, Literature set"
166,73,fish,"",25.2507433231465,"",mg/L,"ECOTOX, OASIS, Literature set, VEGA"
167,139,daphnia,2.2,"","",mg/L,"ECOTOX, OASIS, EFSA"
168,7464,fish,"",10.1,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
169,140,alga,"","",700.436,mg/L,"VEGA, Literature set"
170,7465,"alga, daphnia",205.0,"",25.15,mg/L,"ECHA, NITE"
171,7466,daphnia,84.77,"","",mg/L,ECHA
172,7467,"alga, daphnia, fish",39.0,63.0,26.0,mg/L,ECHA
173,7468,fish,"",1.79,"",mg/L,ECHA
174,7469,"alga, daphnia",33.9,"",12.5,mg/L,ECHA
175,7470,alga,"","",4.4,mg/L,ECHA
176,7471,"alga, daphnia, fish",19.0,8.3,39.5,mg/L,"ECHA, NITE, Literature set, VEGA"
177,7472,daphnia,2.36,"","",mg/L,ECHA
178,7473,"alga, daphnia",83.4,"",62.3,mg/L,ECHA
179,7474,fish,"",34.7,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
180,7475,alga,"","",402.0,mg/L,ECHA
181,7476,"alga, daphnia, fish",2.4,0.99,96.0,mg/L,"VEGA, Literature set"
182,7477,fish,"",4.5,"",mg/L,ECHA
183,7478,alga,"","",9.79,mg/L,ECHA
184,7479,"alga, daphnia",789.0,"",719.0,mg/L,ECHA
185,7480,"alga, daphnia, fish",21.0,91.0,0.88,mg/L,ECHA
186,7481,fish,"",162.0,"",mg/L,ECHA
187,7482,alga,"","",69.7,mg/L,ECHA
188,7483,"daphnia, fish",44.9,15.95,"",mg/L,ECHA
189,7484,alga,"","",33.7,mg/L,ECHA
190,7485,fish,"",17.2,"",mg/L,ECHA
191,7486,daphnia,391.0,"","",mg/L,ECHA
192,7487,"alga, fish","",4.67,2.28,mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
193,7488,alga,"","",8.72,mg/L,ECHA
194,7489,fish,"",6.91,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
195,7490,alga,"","",1000.608,mg/L,"Literature set"
196,7491,"alga, fish","",85.0,45.0,mg/L,"ECHA, Literature set"
197,7492,"alga, daphnia, fish",38.0,28.05,19.0,mg/L,ECHA
198,7493,"alga, daphnia",0.307,"",0.32,mg/L,"ECHA, ECHA(26), ECOTOX, NITE"
199,7494,"alga, daphnia, fish",3.2,76.0,153.5,mg/L,"NITE, VEGA, Literature set"
200,7495,"alga, daphnia, fish",1.2,0.65,1.5,mg/L,ECHA
201,7496,daphnia,0.48,"","",mg/L,ECHA
202,7497,daphnia,34.87,"","",mg/L,ECHA
203,7498,daphnia,8.348,"","",mg/L,ECHA
204,7499,"alga, daphnia, fish",4.1,9.2,4.1,mg/L,"NITE, VEGA, Literature set"
205,7500,"daphnia, fish",4.0,6.2,"",mg/L,ECHA
206,7501,"alga, daphnia, fish",1.645,7.28,8.12,mg/L,"ECHA, NITE, Literature set"
207,157,fish,"",0.44,"",mg/L,ECOTOX
208,7502,daphnia,5.809,"","",mg/L,"Literature set"
209,158,fish,"",87.0369942326689,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
210,7503,"daphnia, fish",4.7,10.9,"",mg/L,ECHA
211,7504,daphnia,46.0,"","",mg/L,ECHA
212,7505,daphnia,32.0,"","",mg/L,ECHA
213,7506,daphnia,1.045,"","",mg/L,ECHA
214,7507,alga,"","",32.1,mg/L,ECHA
215,7508,alga,"","",104.0,mg/L,"Literature set"
216,7509,fish,"",750.0,"",mg/L,ECHA
217,161,"daphnia, fish",4.03,5.09,"",mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
218,162,daphnia,2.65,"","",mg/L,ECHA
219,7510,"daphnia, fish",4.4,3.0,"",mg/L,"NITE, Literature set"
220,4885,"daphnia, fish",15.0,5.7,"",mg/L,"NITE, VEGA, Literature set"
221,7511,"daphnia, fish",13.0,21.0,"",mg/L,"NITE, VEGA, Literature set"
222,4100,daphnia,20.7,"","",mg/L,ECHA
223,7512,"alga, daphnia",2.07,"",2.13,mg/L,ECHA
224,182,"alga, fish","",420.0,1000.642,mg/L,"Literature set, ECOTOX"
225,7513,"alga, daphnia",35.0,"",48.0,mg/L,ECHA
226,183,"alga, daphnia, fish",25.9,104.0,83.22,mg/L,"ECHA, ECOTOX, OASIS, ECOTOX(13), ECOTOX-EPA(13), EPAFHM, Literature set"
227,7514,daphnia,93.086,"","",mg/L,"VEGA, Literature set"
228,7515,daphnia,5.72,"","",mg/L,ECHA
229,190,alga,"","",36.0,mg/L,"Literature set"
230,192,fish,"",0.701833696684275,"",mg/L,OASIS
231,194,alga,"","",66.44,mg/L,ECHA
232,7516,"daphnia, fish",6.9,6.5,"",mg/L,ECHA
233,7517,alga,"","",6780.0,mg/L,"Literature set"
234,6341,fish,"",1619.0,"",mg/L,ECOTOX
235,7518,daphnia,134.8,"","",mg/L,ECHA
236,7519,daphnia,3.6,"","",mg/L,ECHA
237,7520,daphnia,5.9,"","",mg/L,ECHA
238,7521,alga,"","",110.6,mg/L,ECHA
239,204,"alga, fish","",812.116,460.304,mg/L,"VEGA, Literature set"
240,7522,daphnia,72.0,"","",mg/L,ECHA
241,7523,alga,"","",2.7,mg/L,"Literature set"
242,7524,fish,"",1130.0,"",mg/L,"ECOTOX, EPAFHM, Literature set, VEGA"
243,205,"alga, fish","",100.0,299.0,mg/L,"Literature set"
244,7525,fish,"",24.3455330127487,"",mg/L,"ECOTOX, EPAFHM, Literature set, VEGA"
245,7526,"alga, daphnia",24.0,"",3.0,mg/L,ECHA
246,7527,alga,"","",7.5,mg/L,ECHA
247,7528,daphnia,6.3,"","",mg/L,ECHA
248,7529,"alga, daphnia",14.85,"",11.69,mg/L,ECHA
249,7530,"alga, fish","",8.0,25.0,mg/L,"ECHA, ECHA(10)"
250,7531,daphnia,5.3,"","",mg/L,ECHA
251,7532,alga,"","",6.51,mg/L,ECHA
252,3949,"alga, daphnia, fish",17.0,5.6,4.2,mg/L,ECHA
253,7533,"alga, daphnia, fish",9.2,21.5,8.85,mg/L,"NITE, VEGA, Literature set"
254,7534,"alga, daphnia",74.0,"",51.0,mg/L,ECHA
255,7535,daphnia,116.0,"","",mg/L,ECHA
256,233,"alga, daphnia",380.0,"",940.543,mg/L,"Literature set, ECHA, NITE"
257,4432,"alga, daphnia, fish",29.4,2.76,12.3,mg/L,ECHA
258,242,"daphnia, fish",11.946,11.44,"",mg/L,ECHA
259,243,daphnia,36.82,"","",mg/L,ECHA
260,241,"alga, daphnia",36.6,"",40.0,mg/L,ECHA
261,239,"alga, daphnia, fish",17.0,4.0,110.0,mg/L,"ECHA, ECOTOX"
262,4576,"alga, daphnia, fish",4.31,39.6,4.8,mg/L,ECHA
263,7536,daphnia,14.0,"","",mg/L,ECHA
264,7537,daphnia,6.7,"","",mg/L,ECHA
265,7538,daphnia,7.8,"","",mg/L,ECHA
266,7539,alga,"","",4.39,mg/L,ECHA
267,7540,daphnia,90.9,"","",mg/L,ECHA
268,7541,alga,"","",1.56,mg/L,ECHA
269,7542,alga,"","",6.7,mg/L,"Literature set"
270,7543,daphnia,0.43,"","",mg/L,ECHA
271,7544,"alga, daphnia",32.0,"",40.0,mg/L,ECHA
272,7545,"alga, daphnia, fish",11.0,10.0,3.6,mg/L,"NITE, VEGA, Literature set"
273,166,"alga, daphnia, fish",31.0,71.0,36.0,mg/L,ECHA
274,7546,fish,"",1.99151107138109,"",mg/L,"EPAFHM, Literature set, VEGA"
275,7547,fish,"",5.5,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
276,7548,"alga, daphnia, fish",7.94,11.7,14.51,mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
277,7549,fish,"",56.5,"",mg/L,ECHA
278,7550,"alga, fish","",1.5,0.15,mg/L,ECHA
279,7551,"alga, daphnia",21.4,"",95.0,mg/L,"Literature set"
280,7552,daphnia,12.0,"","",mg/L,ECHA
281,7553,"alga, fish","",5.0,8.9,mg/L,ECHA
282,172,fish,"",382.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
283,7554,"daphnia, fish",15.0,100.0,"",mg/L,ECHA
284,7555,"alga, daphnia",10.7,"",29.0,mg/L,ECHA
285,7556,"alga, daphnia",35.6,"",16.9,mg/L,ECHA
286,165,daphnia,11.8,"","",mg/L,ECHA
287,173,"alga, fish","",162.0,86.4,mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
288,7557,fish,"",115.0,"",mg/L,ECOTOX
289,6595,alga,"","",827.0,mg/L,"Literature set"
290,7558,fish,"",157.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
291,5316,"alga, daphnia",109.4,"",399.78,mg/L,ECHA
292,7559,fish,"",168.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
293,7560,fish,"",40.6,"",mg/L,"ECOTOX, Literature set"
294,7561,"alga, daphnia",4.17,"",1.81,mg/L,ECHA
295,7562,fish,"",2.66,"",mg/L,ECOTOX
296,268,"alga, fish","",10.5,11.0,mg/L,"Literature set"
297,3845,fish,"",0.905,"",mg/L,ECOTOX
298,7563,alga,"","",6.0,mg/L,ECHA
299,7564,fish,"",287.0,"",mg/L,ECHA
300,6631,"daphnia, fish",0.75,8.32,"",mg/L,"ECOTOX, EFSA, VEGA, Literature set"
301,7565,"alga, daphnia",87.0,"",66.0,mg/L,"NITE, Literature set"
302,270,"daphnia, fish",51.0,14.5,"",mg/L,"EFSA, ECOTOX"
303,7566,daphnia,4.46,"","",mg/L,EFSA
304,281,alga,"","",60.0,mg/L,ECHA
305,7567,"alga, daphnia",1.03,"",0.539,mg/L,ECHA
306,4274,"alga, daphnia",43.2,"",16.0,mg/L,ECHA
307,7568,"daphnia, fish",6.4,2.86,"",mg/L,ECHA
308,4566,"alga, daphnia, fish",9.49,24.6,13.3,mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
309,7569,daphnia,26.2,"","",mg/L,ECHA
310,7570,fish,"",6.2535,"",mg/L,ECHA
311,5114,"daphnia, fish",0.011,0.359685346547967,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
312,7571,"alga, daphnia, fish",11.2,12.0,84.0,mg/L,"NITE, VEGA, Literature set, ECOTOX"
313,7572,"alga, daphnia",0.249,"",0.3,mg/L,ECHA
314,7573,fish,"",602.0,"",mg/L,"ECOTOX, OASIS, Literature set, VEGA"
315,7574,fish,"",476.118258804129,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
316,7575,fish,"",2.54373056992994,"",mg/L,OASIS
317,283,fish,"",149.0,"",mg/L,ECOTOX
318,7576,"alga, daphnia",20.4,"",51.0,mg/L,ECHA
319,7577,daphnia,1.022,"","",mg/L,"Literature set"
320,7578,fish,"",68.0,"",mg/L,ECHA
321,287,"alga, daphnia, fish",933.0,6410.0,482.189,mg/L,"VEGA, Literature set"
322,7579,"alga, daphnia, fish",1.3,2.1,5.28,mg/L,"ECHA, ECHA(10), ECHA(14)"
323,7580,daphnia,10.0,"","",mg/L,ECHA
324,7581,alga,"","",60.0,mg/L,ECHA
325,7582,alga,"","",2340.0,mg/L,"Literature set"
326,5660,"daphnia, fish",14.9,172.0,"",mg/L,ECHA
327,3683,"daphnia, fish",14.0,56.88,"",mg/L,"ECHA, NITE, Literature set"
328,7583,daphnia,191.16,"","",mg/L,ECHA
329,7584,alga,"","",36.0,mg/L,ECHA
330,7585,"daphnia, fish",4.3,2.17,"",mg/L,ECHA
331,289,"daphnia, fish",6.7,34.0,"",mg/L,ECHA
332,7586,fish,"",29.1,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
333,7587,fish,"",1.37,"",mg/L,"ECOTOX, EPAFHM, Literature set, VEGA"
334,7588,"alga, daphnia, fish",3.2,2.7,6.8,mg/L,"NITE, VEGA, Literature set"
335,7589,daphnia,0.4,"","",mg/L,ECHA
336,7590,"alga, daphnia, fish",0.11,0.0609,0.32,mg/L,"VEGA, Literature set"
337,7591,fish,"",0.53777502514311,"",mg/L,"OASIS, Literature set"
338,7592,fish,"",0.49,"",mg/L,"OASIS, EPAFHM, Literature set, VEGA"
339,7593,daphnia,0.277,"","",mg/L,ECHA
340,6819,daphnia,1.8,"","",mg/L,ECHA
341,6898,"daphnia, fish",0.0041,0.0341,"",mg/L,"EFSA, Literature set"
342,7594,"daphnia, fish",0.001,0.002975,"",mg/L,"EFSA, VEGA, Literature set"
343,7595,daphnia,0.98,"","",mg/L,ECHA
344,7596,"alga, daphnia, fish",0.33,0.68,0.745,mg/L,"ECHA, NITE, VEGA, Literature set"
345,276,"alga, daphnia, fish",4.23352569429433,5.15,14.0,mg/L,"ECHA, OASIS, ECOTOX, EPAFHM, Literature set, VEGA"
346,7597,daphnia,0.014,"","",mg/L,"Literature set"
347,7598,fish,"",7.5,"",mg/L,ECHA
348,7599,fish,"",0.367594008782528,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
349,7600,daphnia,0.64,"","",mg/L,ECHA
350,7601,daphnia,3.64,"","",mg/L,ECHA
351,7602,fish,"",31.9,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
352,7603,fish,"",7.19,"",mg/L,"Literature set"
353,3941,"alga, daphnia, fish",3.7,3.7,6.5,mg/L,"ECHA, NITE, VEGA, Literature set"
354,7604,daphnia,3.9,"","",mg/L,ECOTOX
355,7605,daphnia,2.46,"","",mg/L,ECHA
356,7606,"alga, daphnia, fish",31.0,19.0,81.0,mg/L,"NITE, VEGA, Literature set"
357,7607,daphnia,0.057,"","",mg/L,NITE
358,7608,"daphnia, fish",0.51,1.5,"",mg/L,ECHA
359,7609,daphnia,559.6,"","",mg/L,ECHA
360,7610,alga,"","",4.052,mg/L,ECHA
361,7611,"alga, daphnia, fish",37.0,2.7,11.0,mg/L,ECHA
362,7612,fish,"",1400.0,"",mg/L,ECHA
363,7613,alga,"","",45.0,mg/L,"Aquatic ECETOC"
364,7614,alga,"","",126.0,mg/L,ECHA
365,7615,fish,"",65.3,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
366,7616,alga,"","",4.5,mg/L,ECHA
367,7617,"alga, fish","",72.0,2.35,mg/L,"NITE, Literature set"
368,7618,fish,"",3290.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
369,7619,"daphnia, fish",21.4,3.15,"",mg/L,ECHA
370,6611,"alga, fish","",243.5,97.6,mg/L,ECHA
371,5593,alga,"","",1.95,mg/L,ECHA
372,7620,"daphnia, fish",110.3,135.0,"",mg/L,"ECHA, ECOTOX, OASIS, Literature set"
373,7621,fish,"",582.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
374,7622,daphnia,2.46029050384,"","",mg/L,"ECOTOX, Literature set"
