id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1423,8437,"daphnia, fish",1.3,2.4,"",mg/L,"ECHA, NITE, VEGA, Literature set"
1424,1248,fish,"",0.64,"",mg/L,"ECOTOX, OASIS, EPAFHM, ECHA"
1425,8438,"alga, daphnia, fish",91.0,13.0,31.0,mg/L,ECHA
1426,1253,"daphnia, fish",18.5,6.89,"",mg/L,ECHA
1427,8439,"alga, daphnia, fish",19.0,1.5,6.9,mg/L,ECHA
1428,8440,daphnia,66.89,"","",mg/L,ECHA
1429,8441,"alga, daphnia, fish",8.86,11.5273861759007,36.7,mg/L,"ECHA, ECOTOX, OASIS, Literature set"
1430,1257,fish,"",4.46,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1431,8442,alga,"","",226.2,mg/L,ECHA
1432,1258,fish,"",3.64,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, ECHA"
1433,8443,"alga, daphnia",66.0,"",13.0,mg/L,ECHA
1434,8444,alga,"","",0.523,mg/L,ECHA
1435,1261,fish,"",0.3,"",mg/L,ECOTOX
1436,8445,alga,"","",6.9,mg/L,ECHA
1437,8446,daphnia,68.5,"","",mg/L,ECHA
1438,8447,alga,"","",5.6,mg/L,"Literature set"
1439,8448,daphnia,9.2,"","",mg/L,ECHA
1440,8449,fish,"",0.59,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1441,8450,fish,"",0.861962732761397,"",mg/L,"EPAFHM, Literature set, VEGA"
1442,1251,"alga, daphnia, fish",4.197,1.51,5.54,mg/L,"ECHA, NITE, VEGA, Literature set"
1443,1249,"alga, fish","",2.12230797806816,0.66,mg/L,"ECHA, ECOTOX, OASIS, Literature set, VEGA"
1444,8451,daphnia,2.01,"","",mg/L,ECHA
1445,1264,fish,"",18.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, ECHA"
1446,8452,fish,"",7.194,"",mg/L,"Literature set"
1447,8453,alga,"","",19.8,mg/L,ECHA
1448,1270,"alga, daphnia",75.7,"",242.55,mg/L,ECHA
1449,4533,fish,"",104.0,"",mg/L,"ECOTOX, ECHA"
