,chemical_formula,smiles,casnum,molecular_weight,species,daphnia_EC50,units,source
35,C25H22P,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1100-88-5,353.4159545898437,daphnia,0.0,log(mg/L),ECHA
36,C7H8,C1=CC2C=CC1C2,121-46-0,92.13842010498048,daphnia,2.7568403652716422,log(mg/L),ECHA
37,C9H12,C1=CCC2CC=CC2C1,3048-65-5,120.19158172607422,daphnia,-0.3147107448397002,log(mg/L),"NITE, VEGA, Literature set"
38,C9H8,C1=Cc2ccccc2C1,95-13-6,116.15982055664062,daphnia,0.7884573603642703,log(mg/L),ECHA
39,C9H18N2O,C1CC(N2CCOCC2)CCN1,53617-35-9,170.2520294189453,daphnia,4.330733340286331,log(mg/L),ECHA
40,C7H10,C1=CC2CCC1C2,498-66-8,94.15430450439452,daphnia,1.9878743481543453,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
41,C18H22,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,61788-32-7,238.3672790527344,daphnia,-0.6539264674066639,log(mg/L),"ECHA, Literature set"
42,C8H12,C1=CCCC=CCC1,111-78-4,108.1808853149414,daphnia,-0.1392620673335076,log(mg/L),"NITE, VEGA, Literature set"
43,C19H26N2S2,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,4979-32-2,346.5531311035156,daphnia,-0.342490308946776,log(mg/L),ECHA
44,C12H23N,C1CCC(NC2CCCCC2)CC1,101-83-7,181.31771850585935,daphnia,2.079441541679836,log(mg/L),"ECHA, NITE, Literature set"
45,C13H16N2S2,c1ccc2sc(SNC3CCCCC3)nc2c1,95-33-0,264.4095458984375,daphnia,-0.2357223335210698,log(mg/L),"ECHA, NITE, VEGA, Literature set"
46,C6H10,C1=CCCCC1,110-83-8,82.14360046386719,daphnia,0.7419373447293773,log(mg/L),"ECHA, ECOTOX, NITE, OASIS, Literature set"
47,C5H10,C1CCCC1,287-92-3,70.13290405273439,daphnia,2.385248181647332,log(mg/L),"OASIS, Literature set"
48,C8H14O,C1CCCC2OC2CC1,000286-62-4,126.19615936279295,daphnia,3.1780538303479458,log(mg/L),"VEGA, Literature set"
49,C6H12,C1CCCCC1,110-82-7,84.15948486328125,daphnia,-0.1053605156578262,log(mg/L),"ECHA, OASIS, ECOTOX, EPAFHM, VEGA, Literature set"
50,C4H9N,C1CCNC1,123-75-1,71.12096405029297,daphnia,4.143134726391533,log(mg/L),ECHA
51,C5H11N,C1CCNCC1,110-89-4,85.14753723144531,daphnia,2.9444389791664403,log(mg/L),ECHA
52,C4H8S,C1CCSC1,110-01-0,88.17131805419922,daphnia,3.1780538303479458,log(mg/L),ECHA
53,C6H9N3,C1CCc2[nH]nnc2C1,6789-99-7,123.15576171875,daphnia,5.327487743847817,log(mg/L),ECHA
54,C10H12,c1ccc2c(c1)CCCC2,119-64-2,132.20228576660156,daphnia,2.2512917986064958,log(mg/L),"ECHA, NITE, Literature set"
55,C9H11N,c1cnc2c(c1)CCCC2,10500-57-9,133.19033813476562,daphnia,2.3978952727983707,log(mg/L),"NITE, VEGA, Literature set"
56,C17H20N2,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,841-77-0,252.3541107177734,daphnia,2.091864061678393,log(mg/L),ECHA
57,C9H10N2,c1ccc(C2=NCCN2)cc1,936-49-2,146.18910217285156,daphnia,3.258096538021482,log(mg/L),ECHA
58,C7H13N3,C1CN=C2NCCCN2C1,5807-14-7,139.19822692871094,daphnia,2.8903717578961645,log(mg/L),ECHA
59,C2H4O,C1CO1,75-21-8,44.05255889892578,daphnia,5.351123169417025,log(mg/L),"OASIS, VEGA, Literature set"
60,C5H8O,C1=COCCC1,110-87-2,84.11642456054688,daphnia,4.152613470346076,log(mg/L),ECHA
61,C4H9NO,C1COCCN1,110-91-8,87.120361328125,daphnia,3.7954891891721942,log(mg/L),"ECHA, NITE, ECOTOX"
62,C4H8O2,C1COCCO1,000123-91-1,88.10511779785156,daphnia,0.4054651081081644,log(mg/L),"VEGA, Literature set"
63,C6H6O2S,c1scc2c1OCCO2,126213-50-1,142.17564392089844,daphnia,2.5649493574615367,log(mg/L),ECHA
64,C12H12N2,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2764-72-9,184.2370758056641,daphnia,0.1823215567939546,log(mg/L),"ECOTOX, OASIS, EFSA, VEGA, Literature set"
65,C9H11N,c1ccc2c(c1)CCNC2,91-21-4,133.19033813476562,daphnia,3.254242968705492,log(mg/L),ECHA
66,C7H9NS,c1cc2c(s1)CCNC2,28783-41-7,139.21806335449222,daphnia,4.276666119016055,log(mg/L),ECHA
67,C8H12O2,C1CC2OC2CC1C1CO1,106-87-6,140.1796875,daphnia,4.060443010546419,log(mg/L),"NITE, VEGA, Literature set"
68,C8H8O,c1ccc(C2CO2)cc1,96-09-3,120.14852142333984,daphnia,0.6418538861723947,log(mg/L),"VEGA, Literature set"
69,C17H12,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,30777-19-6,216.27719116210935,daphnia,-4.7205664993334935,log(mg/L),ECOTOX
70,C13H10,c1ccc2c(c1)Cc1ccccc1-2,86-73-7,166.218505859375,daphnia,-0.7133498878774648,log(mg/L),"NITE, Literature set"
71,C13H10O,c1ccc2c(c1)Cc1ccccc1O2,92831,182.2179107666016,daphnia,3.0106208860477417,log(mg/L),"ECOTOX, VEGA, Literature set"
72,C14H12,C=C(c1ccccc1)c1ccccc1,530-48-3,180.24508666992188,daphnia,0.6418538861723947,log(mg/L),ECHA
73,C4H4O2,C=C1CC(=O)O1,674-82-8,84.0733642578125,daphnia,0.9555114450274363,log(mg/L),"NITE, VEGA, Literature set"
74,C3H3N,C=CC#N,107-13-1,53.06262207031249,daphnia,0.9162907318741552,log(mg/L),"NITE, VEGA, Literature set"
75,C18H24O4,C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21,42594-17-2,304.3807678222656,daphnia,0.8586616190375187,log(mg/L),ECHA
76,C14H20O2,C=CC(=O)OCC1CCC2C3CCC(C3)C12,93962-84-6,220.30740356445312,daphnia,0.9707789171582248,log(mg/L),ECHA
77,C8H12O3,C=CC(=O)OCC1CCCO1,2399-48-6,156.1790771484375,daphnia,3.629660094453965,log(mg/L),ECHA
78,C12H18O4,C=CC(=O)OCCCCCCOC(=O)C=C,13048-33-4,226.2689208984375,daphnia,0.9932517730102834,log(mg/L),"VEGA, Literature set"
79,C10H14O4,C=CC(=O)OCCCCOC(=O)C=C,1070-70-8,198.2157592773437,daphnia,1.5238800240724537,log(mg/L),ECHA
80,C21H20O6,C=CC(=O)OCCCCOC(=O)Oc1ccc(C(=O)c2ccccc2)cc1,131513-00-3,368.3799133300781,daphnia,1.2584609896100056,log(mg/L),ECHA
81,C14H22O7,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,17831-71-9,302.3202819824219,daphnia,4.836281906951478,log(mg/L),ECHA
82,C17H16O3,C=CC(=O)OCCOc1ccccc1-c1ccccc1,72009-86-0,268.30715942382807,daphnia,0.9646998710818424,log(mg/L),ECHA
83,C18H21N3O9,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,40220-08-4,423.37405395507807,daphnia,5.064491966886966,log(mg/L),"NITE, VEGA, Literature set"
84,C10H10O2,C=CC(=O)OCc1ccccc1,2495-35-4,162.18521118164062,daphnia,1.3862943611198906,log(mg/L),ECHA
85,C9H12,C=CC1CC2C=CC1C2,3048-64-4,120.19158172607422,daphnia,1.9878743481543453,log(mg/L),ECHA
86,C8H12,C=CC1CC=CCC1,100-40-3,108.1808853149414,daphnia,0.6418538861723947,log(mg/L),"ECHA, NITE, Literature set"
87,C8H14,C=CC1CCCCC1,695-12-5,110.19676208496094,daphnia,-0.0356271776431511,log(mg/L),ECHA
88,C11H12O2,C=CCCC(=O)Oc1ccccc1,51231-09-5,176.21177673339844,daphnia,0.2070141693843261,log(mg/L),ECHA
89,C8H14O,C=CCCCCCC=O,21573-31-9,126.19615936279295,daphnia,2.10900034392138,log(mg/L),ECHA
