id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
5074,14511,CHEMBL2408979,"Escherichia coli",32.0,ug.mL-1,"'>'",322.41,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5075,14512,CHEMBL4468080,"Escherichia coli",32.0,ug.mL-1,"'='",3799.49,"","Scientific Literature","Eur J Med Chem"
5076,14513,CHEMBL4448832,"Escherichia coli",4.0,ug.mL-1,"'='",3397.06,"","Scientific Literature","Eur J Med Chem"
5077,14514,CHEMBL4591850,"Escherichia coli",0.25,ug.mL-1,"'='",446.53,"","Scientific Literature","J Med Chem"
5078,14515,CHEMBL4540430,"Escherichia coli",32.0,ug.mL-1,"'>'",732.94,"","Scientific Literature","Eur J Med Chem"
5079,14516,CHEMBL4476145,"Escherichia coli",125.0,ug.mL-1,"'>'",618.9,"","Scientific Literature","J Nat Prod"
5080,12417,CHEMBL4452350,"Escherichia coli",256.0,ug.mL-1,"'>'",473.47,"","Scientific Literature","J Med Chem"
5081,14517,CHEMBL4467364,"Escherichia coli",32.0,ug.mL-1,"'='",890.26,"","Scientific Literature","Eur J Med Chem"
5082,14518,CHEMBL91,"Escherichia coli",0.0,ug.mL-1,"'='",416.14,"","Scientific Literature","Med Chem Res"
5083,14519,CHEMBL3605487,"Escherichia coli",32.0,ug.mL-1,"'>'",792.8,"","Scientific Literature","Bioorg. Med. Chem. Lett."
5084,14520,CHEMBL4558767,"Escherichia coli",16.0,ug.mL-1,"'='",474.73,"","Scientific Literature","J Nat Prod"
5085,14521,CHEMBL4556138,"Escherichia coli",32.0,ug.mL-1,"'>'",549.51,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5086,14522,CHEMBL4452453,"Escherichia coli",32.0,ug.mL-1,"'='",943.66,"","Scientific Literature","Eur J Med Chem"
