id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
4949,14405,CHEMBL1825006,"Escherichia coli",125.0,ug.mL-1,"'='",363.84,"","Scientific Literature","Bioorg. Med. Chem. Lett."
4950,14406,CHEMBL2336408,"Escherichia coli",0.125,ug.mL-1,"'='",432.45,"","Scientific Literature","Bioorg. Med. Chem. Lett."
4951,14407,CHEMBL1203497,"Escherichia coli",32.0,ug.mL-1,"'>'",293.78,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4952,14408,CHEMBL4588857,"Escherichia coli",32.0,ug.mL-1,"'>'",274.37,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4953,13339,CHEMBL3423276,"Escherichia coli",128.0,ug.mL-1,"'='",296.76,"","Scientific Literature","Eur. J. Med. Chem."
4954,14409,CHEMBL4544852,"Escherichia coli",32.0,ug.mL-1,"'>'",380.45,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4955,14410,CHEMBL2234849,"Escherichia coli",50.0,ug.mL-1,"'='",564.79,"","Scientific Literature","Med Chem Res"
4956,14411,CHEMBL1817969,"Escherichia coli",3.0,ug.mL-1,"'='",788.1,"","Scientific Literature","J. Med. Chem."
4957,14060,CHEMBL4474983,"Escherichia coli",3.9,ug.mL-1,"'='",404.48,"","Scientific Literature","Eur J Med Chem"
4958,14412,CHEMBL359788,"Escherichia coli",20.0,ug.mL-1,"'>'",260.29,"","Scientific Literature","Bioorg. Med. Chem. Lett."
4959,14413,CHEMBL2238256,"Escherichia coli",50.0,ug.mL-1,"'='",436.56,"","Scientific Literature","Med Chem Res"
4960,14414,CHEMBL3605116,"Escherichia coli",16.0,ug.mL-1,"'='",537.55,"","Scientific Literature","Bioorg. Med. Chem. Lett."
4961,14415,CHEMBL3322902,"Escherichia coli",200.0,ug.mL-1,"'='",540.44,"","Scientific Literature","Eur. J. Med. Chem."
4962,14416,CHEMBL3322908,"Escherichia coli",200.0,ug.mL-1,"'='",941.08,"","Scientific Literature","Eur. J. Med. Chem."
4963,14417,CHEMBL3322911,"Escherichia coli",200.0,ug.mL-1,"'='",660.76,"","Scientific Literature","Eur. J. Med. Chem."
4964,14418,CHEMBL2430812,"Escherichia coli",62.5,ug.mL-1,"'='",576.59,"","Scientific Literature","Med Chem Res"
4965,14419,CHEMBL4565477,"Escherichia coli",32.0,ug.mL-1,"'>'",945.94,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4966,14420,CHEMBL4534924,"Escherichia coli",32.0,ug.mL-1,"'>'",419.51,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4967,14421,CHEMBL4583479,"Escherichia coli",32.0,ug.mL-1,"'>'",502.67,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4968,14422,CHEMBL2393497,"Escherichia coli",33.64,ug.mL-1,"'='",364.4,"","Scientific Literature","Bioorg. Med. Chem."
4969,14423,CHEMBL4546414,"Escherichia coli",64.0,ug.mL-1,"'>'",515.52,"","Scientific Literature","Eur J Med Chem"
4970,14424,CHEMBL4593857,"Escherichia coli",64.0,ug.mL-1,"'>'",393.45,"","Scientific Literature","Eur J Med Chem"
4971,12378,CHEMBL373496,"Escherichia coli",32.0,ug.mL-1,"'='",1141.47,"","Scientific Literature","Bioorg. Med. Chem."
4972,14425,CHEMBL405903,"Escherichia coli",128.0,ug.mL-1,"'>'",617.82,"","Scientific Literature","Bioorg Med Chem"
4973,14426,CHEMBL4473544,"Escherichia coli",64.0,ug.mL-1,"'>'",460.9,"","Scientific Literature","Eur J Med Chem"
4974,14230,CHEMBL4572262,"Escherichia coli",256.0,ug.mL-1,"'='",267.32,"","Scientific Literature","Bioorg Med Chem"
4975,12906,CHEMBL4546002,"Escherichia coli",16.0,ug.mL-1,"'='",255.29,"","Scientific Literature","Bioorg Med Chem"
4976,14427,CHEMBL4067758,"Escherichia coli",16.0,ug.mL-1,"'='",2403.99,"","Scientific Literature","J Med Chem"
4977,14428,CHEMBL3609678,"Escherichia coli",0.25,ug.mL-1,"'='",366.32,"","Scientific Literature","Bioorg. Med. Chem. Lett."
