,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
19,Escherichia coli,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC1=O,4.1588830833596715,log(ug/mL),'>',1900.34,,Scientific Literature,Bioorg. Med. Chem.
20,Escherichia coli,Cc1nc([N+](=O)[O-])cn1CCN(CCn1ccnc1)Cc1ccc(Cl)cc1Cl,2.772588722239781,log(ug/mL),'=',423.30,,Scientific Literature,Eur. J. Med. Chem.
21,Escherichia coli,Fc1ccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)cc1,3.2188758248682006,log(ug/mL),'=',314.79,,Scientific Literature,Eur. J. Med. Chem.
22,Escherichia coli,Clc1ccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)cc1,3.2188758248682006,log(ug/mL),'=',331.25,,Scientific Literature,Eur. J. Med. Chem.
23,Escherichia coli,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.6607312068216509,log(ug/mL),'=',331.35,,Scientific Literature,Eur. J. Med. Chem.
24,Escherichia coli,N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccc(Cl)cc1,3.068052935133617,log(ug/mL),'=',372.82,,Scientific Literature,Bioorg. Med. Chem. Lett.
25,Escherichia coli,C=CCn1c(Cc2csc3nc(-c4ccc(Br)cc4)cn23)n[nH]c1=S,4.1588830833596715,log(ug/mL),'>',432.37,,Scientific Literature,Eur. J. Med. Chem.
26,Escherichia coli,Cc1cn(C[C@H]2CN(c3ccc(N4CCN(C=O)CC4)c(F)c3)C(=O)O2)nn1,4.1588830833596715,log(ug/mL),'>',388.40,,Scientific Literature,Eur. J. Med. Chem.
27,Escherichia coli,CC(=O)N1CCN(c2ccc(N3C[C@H](Cn4cc(C)nn4)OC3=O)cc2F)CC1,4.1588830833596715,log(ug/mL),'>',402.43,,Scientific Literature,Eur. J. Med. Chem.
28,Escherichia coli,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCCO)nc56)(CC3)OC4)nc2N1,2.0794415416798357,log(ug/mL),'=',565.65,,Scientific Literature,Bioorg. Med. Chem. Lett.
29,Escherichia coli,N#Cc1ccc(/C=C/c2nc3ccc(OCc4cn(-c5cccc(Cl)c5)nn4)cc3c(=O)n2Cc2ccccc2)cc1,4.1588830833596715,log(ug/mL),'>',571.04,,Scientific Literature,Eur J Med Chem
30,Escherichia coli,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,0.0,log(ug/mL),'=',455.47,,Scientific Literature,Antimicrob. Agents Chemother.
