,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
347,Escherichia coli,Cc1cc(=O)n2c3c(c(F)cnc13)[C@@](O)(CC13CCC(NCc4ccc5c(n4)NC(=O)CO5)(CC1)CO3)C2,3.4657359027997265,log(ug/mL),'=',521.55,,Scientific Literature,Bioorg. Med. Chem. Lett.
348,Escherichia coli,C[C@H]1COc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.N=C(N)NCCC[C@H](N)C(=O)O.O,-2.0794415416798357,log(ug/mL),'=',554.58,,Scientific Literature,Bioorg. Med. Chem. Lett.
349,Escherichia coli,COc1ccc(/C=N/NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1OC,2.5257286443082556,log(ug/mL),'=',347.33,,Scientific Literature,Bioorg. Med. Chem.
350,Escherichia coli,Cc1ncc([N+](=O)[O-])n1CC(=O)N/N=C/c1ccc(N(C)C)cc1,2.5257286443082556,log(ug/mL),'=',330.35,,Scientific Literature,Bioorg. Med. Chem.
351,Escherichia coli,CC(=O)O[C@H]1C[C@H]2[C@]3(C)CC[C@H]4C(C)(C)CCC[C@]4(C=O)[C@H]3CC[C@]2(C)[C@@H]2C1=CO[C@H]2OC(C)=O,4.605170185988092,log(ug/mL),'>',486.65,,Scientific Literature,J. Nat. Prod.
352,Escherichia coli,NCC[C@H](N)CNC(=O)C(CCc1ccccc1)CCc1ccccc1,4.605170185988092,log(ug/mL),'=',353.51,,Scientific Literature,Bioorg Med Chem
353,Escherichia coli,CC1(C)CCC[C@@]2(CO)[C@H]1CC[C@@]1(C)[C@@H]3CCc4cocc4[C@@]3(C)CC[C@@H]12,4.605170185988092,log(ug/mL),'>',370.58,,Scientific Literature,J. Nat. Prod.
354,Escherichia coli,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,4.1588830833596715,log(ug/mL),'=',193.16,,Scientific Literature,Bioorg. Med. Chem.
355,Escherichia coli,COc1ccc(/C=N/n2c(-c3ccccc3)nc3c(Br)cc(Br)cc3c2=O)cc1,3.3978584803966405,log(ug/mL),'=',513.19,,Scientific Literature,Eur. J. Med. Chem.
356,Escherichia coli,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,3.4657359027997265,log(ug/mL),'=',322.36,,Scientific Literature,J. Med. Chem.
357,Escherichia coli,CCO/N=C(/N)C1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C/C1=N\OC,4.852030263919617,log(ug/mL),'>',451.43,,Scientific Literature,Eur. J. Med. Chem.
358,Escherichia coli,COc1ccc(N2CCN(Cn3nc(Cc4ccc(SC)cc4)oc3=S)CC2)cc1,2.5257286443082556,log(ug/mL),'=',442.61,,Scientific Literature,Eur. J. Med. Chem.
359,Escherichia coli,O=C(N/N=C/c1ccc(OC(F)(F)C(F)F)cc1)c1cnc2c(C(F)(F)F)cccc2c1O,1.8325814637483102,log(ug/mL),'=',475.32,,Scientific Literature,Eur. J. Med. Chem.
360,Escherichia coli,Cl.Cl.NCC(NO)c1c[nH]c2ccccc12,4.852030263919617,log(ug/mL),'>',264.16,,Scientific Literature,Bioorg. Med. Chem.
361,Escherichia coli,O=c1c2nc([N+](=O)[O-])cn2ccn1C1CCCCC1,3.4657359027997265,log(ug/mL),'>',262.27,,Scientific Literature,J Med Chem
362,Escherichia coli,FC(F)(F)c1cc(N/N=C/c2ccc3nonc3c2)c2cccc(C(F)(F)F)c2n1,1.8325814637483102,log(ug/mL),'=',425.29,,Scientific Literature,Eur. J. Med. Chem.
363,Escherichia coli,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H]([C@@H](C)CC)N(C(=O)[C@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)[C@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)N[C@@H](CS)C(=O)N[C@H](C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,2.772588722239781,log(ug/mL),'=',3698.65,,Scientific Literature,Eur J Med Chem
364,Escherichia coli,COc1ccc(C2c3ccc4ccccc4c3OC3N=CNC(=O)C32)cc1,5.521460917862246,log(ug/mL),'=',358.40,,Scientific Literature,Eur. J. Med. Chem.
365,Escherichia coli,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.4459670514174941,log(ug/mL),'=',444.44,,Scientific Literature,Bioorg. Med. Chem. Lett.
366,Escherichia coli,C[C@H]1Cn2cc(-c3nc4c(cc3F)C(=O)C(C(=O)O)CN4C3CC3)cc2CN1,0.6931471805599453,log(ug/mL),'=',384.41,,Scientific Literature,Bioorg. Med. Chem. Lett.
367,Escherichia coli,Oc1c(C(O)Cn2ccnc2)ccc2ccccc12,6.931471805599453,log(ug/mL),'>',254.29,,Scientific Literature,Bioorg. Med. Chem.
368,Escherichia coli,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(NC(=O)Cc3ccccc3)cc2)NC1=O,3.4657359027997265,log(ug/mL),'=',1274.62,,Scientific Literature,Bioorg. Med. Chem.
369,Escherichia coli,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(NC(=O)C(C)C)cc2)NC1=O,3.4657359027997265,log(ug/mL),'=',1226.58,,Scientific Literature,Bioorg. Med. Chem.
370,Escherichia coli,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.6931471805599453,log(ug/mL),'=',331.35,,Scientific Literature,Antimicrob. Agents Chemother.
371,Escherichia coli,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-0.6931471805599453,log(ug/mL),'=',319.34,,Scientific Literature,Antimicrob. Agents Chemother.
372,Escherichia coli,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-2.8134107167600364,log(ug/mL),'=',401.44,,Scientific Literature,Antimicrob. Agents Chemother.
373,Escherichia coli,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.0,log(ug/mL),'=',331.35,,Scientific Literature,Antimicrob. Agents Chemother.
374,Escherichia coli,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-0.6931471805599453,log(ug/mL),'=',401.44,,Scientific Literature,Antimicrob. Agents Chemother.
375,Escherichia coli,Cc1ccc(NC(=O)NNC(=O)c2cnc3c(C(F)(F)F)cccc3c2O)cc1,-1.6094379124341003,log(ug/mL),'=',404.35,,Scientific Literature,Eur. J. Med. Chem.
376,Escherichia coli,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-4.8283137373023015,log(ug/mL),'=',401.44,,Scientific Literature,Eur. J. Med. Chem.
377,Escherichia coli,CCCCCC(c1ccc(O)cc1O)c1ccc(O)cc1O,4.605170185988092,log(ug/mL),'=',302.37,,Scientific Literature,Bioorg. Med. Chem. Lett.
378,Escherichia coli,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1.8325814637483102,log(ug/mL),'=',349.41,,Scientific Literature,Bioorg. Med. Chem. Lett.
379,Escherichia coli,S=C(Nc1cccc(Cl)c1)Nc1ccc2ncnc(Sc3nnc(-c4cccnc4)o3)c2c1,3.912023005428146,log(ug/mL),'=',491.99,,Scientific Literature,Med Chem Res
380,Escherichia coli,Cc1ccc(/C=N/NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,1.8325814637483102,log(ug/mL),'=',301.31,,Scientific Literature,Bioorg. Med. Chem.
381,Escherichia coli,Oc1ccc(C(c2cc(Br)c(O)cc2O)c2cc(Br)c(O)cc2O)cc1,4.605170185988092,log(ug/mL),'>',482.12,,Scientific Literature,Bioorg. Med. Chem. Lett.
382,Escherichia coli,CO[C@H]1C2C(=O)C=C3S[C@H]4C[C@]31C1=C(N4)C(=O)c3[nH]cc4c3C1=[N+]2CC4,4.605170185988092,log(ug/mL),'>',366.42,,Scientific Literature,J. Nat. Prod.
383,Escherichia coli,CO/N=C1/C2=C(CCN(c3cc4c(cc3N)c(=O)c(C(=O)O)cn4C3CC3)C2)SCC1C,4.852030263919617,log(ug/mL),'=',454.55,,Scientific Literature,J. Med. Chem.
384,Escherichia coli,CCCC[C@H](CN(O)C=O)C(=O)N1CC=C[C@H]1C(=O)NC1CC1,4.1588830833596715,log(ug/mL),'=',323.39,,Scientific Literature,Bioorg. Med. Chem. Lett.
385,Escherichia coli,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-2.5257286443082556,log(ug/mL),'<',401.44,,Scientific Literature,J. Med. Chem.
386,Escherichia coli,CCCC[C@H](CN(O)C=O)C(=O)N1CC=C[C@H]1C(=O)Nc1ccc(F)cn1,4.1588830833596715,log(ug/mL),'>',378.40,,Scientific Literature,Bioorg. Med. Chem. Lett.
387,Escherichia coli,COC(=O)CC(=O)Nc1nc2c(s1)C[C@@H](NC(=O)c1cc(Br)c(Br)[nH]1)CC2,5.545177444479562,log(ug/mL),'>',520.20,,Scientific Literature,J. Med. Chem.
388,Escherichia coli,CCO/N=C1\CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC1CN,0.6931471805599453,log(ug/mL),'=',489.45,,Scientific Literature,Bioorg. Med. Chem. Lett.
389,Escherichia coli,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCc3cc(-c4cccs4)on3)(CC1)CO2,2.772588722239781,log(ug/mL),'=',508.58,,Scientific Literature,Bioorg. Med. Chem. Lett.
390,Escherichia coli,Fc1ccc(CN(CCn2cncn2)CCn2cncn2)c(F)c1,4.1588830833596715,log(ug/mL),'=',333.35,,Scientific Literature,Eur. J. Med. Chem.
391,Escherichia coli,O=C1c2cccnc2C(=O)c2c1c(C(=O)NCCCN1CCCC1)c1ccc(Br)cn21,4.1588830833596715,log(ug/mL),'>',481.35,,Scientific Literature,Eur. J. Med. Chem.
392,Escherichia coli,CC(=O)N1CCN(C(=O)c2c3c(n4cc(Br)ccc24)C(=O)c2ncccc2C3=O)CC1,4.1588830833596715,log(ug/mL),'>',481.31,,Scientific Literature,Eur. J. Med. Chem.
393,Escherichia coli,CC(C)(C)CCNc1c(-c2nnc(S)n2-c2ccccc2)cnc2c(C(F)(F)F)cccc12,1.8325814637483102,log(ug/mL),'=',471.55,,Scientific Literature,Eur. J. Med. Chem.
394,Escherichia coli,NCCCC[C@H](N)C(=O)NC[C@@H]1CC[C@]2(O1)[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O,4.718498871295094,log(ug/mL),'>',359.47,,Scientific Literature,Bioorg. Med. Chem.
395,Escherichia coli,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,4.852030263919617,log(ug/mL),'>',290.27,,Scientific Literature,Eur. J. Med. Chem.
396,Escherichia coli,COc1cc(-n2c(-c3ccc(S(=O)(=O)c4ccccc4)cc3)n[nH]c2=S)cc(OC)c1OC,4.852030263919617,log(ug/mL),'=',483.57,,Scientific Literature,Eur. J. Med. Chem.
397,Escherichia coli,O=S(=O)(c1ccc(Br)cc1)c1ccc(-c2nnc(Nc3ccc(OC(F)(F)F)cc3)s2)cc1,4.852030263919617,log(ug/mL),'=',556.38,,Scientific Literature,Eur. J. Med. Chem.
398,Escherichia coli,CC(=O)OC[C@]12CCCC(C)(C)[C@@H]1CC[C@@]1(C)[C@@H]3CC=C4C(=O)O[C@@H](OC(C)=O)[C@@H]4[C@@]3(C)CC[C@@H]12,4.605170185988092,log(ug/mL),'>',486.65,,Scientific Literature,J. Nat. Prod.
399,Escherichia coli,O=C(NCC(=O)N1CCN(c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)CC1)c1ccco1,4.1588830833596715,log(ug/mL),'>',497.49,,Scientific Literature,Eur. J. Med. Chem.
400,Escherichia coli,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@H]2O)[C@H]1O,0.9162907318741551,log(ug/mL),'=',715.76,,Scientific Literature,Bioorg. Med. Chem. Lett.
401,Escherichia coli,Fc1ccc(-n2c(-c3cccc(Cl)c3)nn(CN3CCCC3)c2=S)cc1,6.214608098422191,log(ug/mL),'=',388.90,,Scientific Literature,Eur. J. Med. Chem.
402,Escherichia coli,Cc1nnc(SCC(=O)N/N=c2/scc(-c3ccc(C#N)cc3)n2-c2ccccc2)s1,5.521460917862246,log(ug/mL),'=',464.60,,Scientific Literature,Eur. J. Med. Chem.
403,Escherichia coli,O=C(CSc1nnnn1-c1ccccc1)N/N=c1/scc(-c2ccccc2)n1-c1ccccc1,5.521460917862246,log(ug/mL),'=',485.60,,Scientific Literature,Eur. J. Med. Chem.
404,Escherichia coli,Cn1nnnc1SCC(=O)N/N=c1/scc(-c2ccc(Cl)cc2)n1-c1ccccc1,5.521460917862246,log(ug/mL),'=',457.97,,Scientific Literature,Eur. J. Med. Chem.
405,Escherichia coli,CO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1/C(N)=N\OC,4.852030263919617,log(ug/mL),'=',455.39,,Scientific Literature,Eur. J. Med. Chem.
406,Escherichia coli,CCO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1/C(N)=N\OC,4.852030263919617,log(ug/mL),'>',469.42,,Scientific Literature,Eur. J. Med. Chem.
407,Escherichia coli,Cc1cc(=O)oc2cc(OCc3ccc(CBr)cc3)ccc12,6.238324625039508,log(ug/mL),'=',359.22,,Scientific Literature,Bioorg. Med. Chem. Lett.
408,Escherichia coli,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,1.3862943611198906,log(ug/mL),'=',585.61,,Scientific Literature,J. Med. Chem.
409,Escherichia coli,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.44468582126144574,log(ug/mL),'=',331.35,,Scientific Literature,Bioorg. Med. Chem. Lett.
410,Escherichia coli,O=C(CSc1ncccn1)N/N=c1/scc(-c2ccccc2)n1-c1ccccc1,5.521460917862246,log(ug/mL),'=',419.54,,Scientific Literature,Eur. J. Med. Chem.
411,Escherichia coli,Cc1nnc(SCC(=O)N/N=c2/scc(-c3ccc([N+](=O)[O-])cc3)n2-c2ccccc2)s1,5.521460917862246,log(ug/mL),'=',484.59,,Scientific Literature,Eur. J. Med. Chem.
412,Escherichia coli,Cc1nc2ccccc2n1C(=O)/C=C/c1ccc([N+](=O)[O-])cc1,4.852030263919617,log(ug/mL),'=',307.31,,Scientific Literature,Eur. J. Med. Chem.
413,Escherichia coli,COc1ccc(/C=C/C(=O)n2c(C)nc3ccccc32)cc1OC,4.852030263919617,log(ug/mL),'=',322.36,,Scientific Literature,Eur. J. Med. Chem.
414,Escherichia coli,CC(C)NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1,4.852030263919617,log(ug/mL),'>',234.25,,Scientific Literature,Eur. J. Med. Chem.
415,Escherichia coli,Cc1nnc(SCC(=O)N/N=c2/scc(-c3ccccc3)n2-c2ccccc2)s1,5.521460917862246,log(ug/mL),'=',439.59,,Scientific Literature,Eur. J. Med. Chem.
416,Escherichia coli,Cn1nnnc1SCC(=O)N/N=c1/scc(-c2ccc(C#N)cc2)n1-c1ccccc1,5.521460917862246,log(ug/mL),'=',448.54,,Scientific Literature,Eur. J. Med. Chem.
417,Escherichia coli,COc1ccc2c3c(n(C(=O)OC(C)(C)C)c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,2.797281334830153,log(ug/mL),'=',479.58,,Scientific Literature,Bioorg. Med. Chem. Lett.
418,Escherichia coli,CO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1/C(N)=N\OC,4.852030263919617,log(ug/mL),'=',461.45,,Scientific Literature,Eur. J. Med. Chem.
419,Escherichia coli,NCC[C@@H](O)C(=O)N[C@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@H]2OCCNCCc2ccccc2)[C@H]1O,0.6931471805599453,log(ug/mL),'=',863.96,,Scientific Literature,Bioorg. Med. Chem. Lett.
420,Escherichia coli,CCO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1/C(N)=N\OCC,4.852030263919617,log(ug/mL),'=',460.47,,Scientific Literature,Eur. J. Med. Chem.
421,Escherichia coli,CO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1/C(N)=N\O,4.852030263919617,log(ug/mL),'>',447.42,,Scientific Literature,Eur. J. Med. Chem.
422,Escherichia coli,CCO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1/C(N)=N\OC,4.852030263919617,log(ug/mL),'>',475.48,,Scientific Literature,Eur. J. Med. Chem.
423,Escherichia coli,O=c1c2ccc(O)cc2oc2cc(O)cc(O)c12,4.852030263919617,log(ug/mL),'>',244.20,,Scientific Literature,Bioorg. Med. Chem.
424,Escherichia coli,COc1ccc2c(c1)C(O)C(Cc1ccccc1)(Cc1ccccc1)C(=O)N2,4.605170185988092,log(ug/mL),'=',373.45,,Scientific Literature,Eur. J. Med. Chem.
425,Escherichia coli,CCOC(=O)CN1C(=O)C(Cc2ccccc2)(Cc2ccccc2)C(O)c2ccccc21,4.605170185988092,log(ug/mL),'=',429.52,,Scientific Literature,Eur. J. Med. Chem.
426,Escherichia coli,Cc1nc2ccc(OCc3cn(Cc4ccc(Br)cc4)nn3)cc2c(=O)n1-c1ccccc1,4.1588830833596715,log(ug/mL),'>',502.37,,Scientific Literature,Eur J Med Chem
427,Escherichia coli,O=C(O)c1ccc(Nc2nc(Cl)nc(N3CCCCC3)n2)cc1,3.2188758248682006,log(ug/mL),'=',333.78,,Scientific Literature,Eur J Med Chem
428,Escherichia coli,O=c1nc(NCC(O)CN2CCN(c3nc(F)cc4ccc(F)cc34)CC2)c2cc(F)ccc2o1,2.0794415416798357,log(ug/mL),'>',485.47,,Scientific Literature,J Med Chem
429,Escherichia coli,NCCC[C@H](N)C(=O)NC(CCc1ccccc1)CCc1ccccc1,4.605170185988092,log(ug/mL),'>',353.51,,Scientific Literature,Eur J Med Chem
430,Escherichia coli,CCCCCCCCCOc1ccc(F)c(C(N)=O)c1F,4.1588830833596715,log(ug/mL),'>',299.36,,Scientific Literature,Eur J Med Chem
431,Escherichia coli,COc1ccc2ncc(F)c(C[C@H](O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,0.6931471805599453,log(ug/mL),'=',509.54,,Scientific Literature,Bioorg. Med. Chem. Lett.
432,Escherichia coli,CC(C)(C)c1ccc(-n2c(/C=C/c3ccc(C#N)cc3)nc3ncccc3c2=O)cc1,4.1588830833596715,log(ug/mL),'>',406.49,,Scientific Literature,Eur J Med Chem
433,Escherichia coli,CCCC(CCC)C(=O)OC(Cn1ccnc1)c1ccc2ccccc2c1,6.931471805599453,log(ug/mL),'>',364.49,,Scientific Literature,Bioorg. Med. Chem.
434,Escherichia coli,Cc1nc2cc(-n3cc(COc4ccccc4)nn3)ccc2c(=O)n1-c1ccccc1,4.1588830833596715,log(ug/mL),'>',409.45,,Scientific Literature,Eur J Med Chem
435,Escherichia coli,Cc1nc2ccc(-c3ccc(F)cc3)cc2c(=O)n1-c1cccc(Cl)c1,4.1588830833596715,log(ug/mL),'>',364.81,,Scientific Literature,Eur J Med Chem
436,Escherichia coli,C[C@@](CCN1Cc2cc(C#CC#CC3(N)CC3)sc2C1=O)(C(=O)NO)S(C)(=O)=O.Cl,-1.3862943611198906,log(ug/mL),'=',471.99,,Scientific Literature,J Med Chem
437,Escherichia coli,O=c1c2ccccc2oc2cc(O)cc(O)c12,4.852030263919617,log(ug/mL),'>',228.20,,Scientific Literature,Bioorg. Med. Chem.
438,Escherichia coli,C[C@@](CCN1Cc2cc(C#CC#C[C@H]3C[C@@H]3CO)sc2C1=O)(C(=O)NO)S(C)(=O)=O,-1.8971199848858813,log(ug/mL),'=',450.54,,Scientific Literature,J Med Chem
439,Escherichia coli,CCCCCCCC(C)Nc1ccc(F)c(C(N)=O)c1F,4.1588830833596715,log(ug/mL),'>',298.38,,Scientific Literature,Eur J Med Chem
440,Escherichia coli,O=c1cc(NC[C@H](O)CN2CCN(c3nccc4ccc(F)cc34)CC2)c2ccccc2o1,1.3862943611198906,log(ug/mL),'=',448.50,,Scientific Literature,J Med Chem
441,Escherichia coli,CC(C)C1Cc2sc3[nH]c(=O)n(C/C=C/c4ccc(O)cc4)c(=O)c3c2C(Cc2ccccc2)C1,3.4657359027997265,log(ug/mL),'=',486.64,,Scientific Literature,Eur. J. Med. Chem.
442,Escherichia coli,COc1cc(/C=C/c2nnc(-c3cc([N+](=O)[O-])c[nH]3)o2)ccc1O,1.1394342831883648,log(ug/mL),'=',328.28,,Scientific Literature,Eur. J. Med. Chem.
443,Escherichia coli,O=[N+]([O-])c1c[nH]c(-c2nnc(-c3cc4cc(Cl)ccc4[nH]3)o2)c1,0.44468582126144574,log(ug/mL),'=',329.70,,Scientific Literature,Eur. J. Med. Chem.
444,Escherichia coli,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,0.0,log(ug/mL),'=',334.40,,Scientific Literature,Bioorg Med Chem
445,Escherichia coli,Nc1nc(COC(=O)Cc2ccccc2OC(F)(F)F)cs1,2.5257286443082556,log(ug/mL),'=',332.30,,Scientific Literature,Eur. J. Med. Chem.
446,Escherichia coli,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,1.3862943611198906,log(ug/mL),'=',454.48,,Scientific Literature,J Med Chem
447,Escherichia coli,CC(=O)NCc1noc(-c2cc(F)c(N3CCOCC3)c(F)c2)n1,4.852030263919617,log(ug/mL),'=',338.31,,Scientific Literature,Eur. J. Med. Chem.
448,Escherichia coli,Oc1ccccc1/C=N/n1c(S)nnc1-c1cnccn1,-0.941608539858445,log(ug/mL),'=',298.33,,Scientific Literature,Bioorg. Med. Chem. Lett.
449,Escherichia coli,CSc1ccc(C2CC(c3ccc(Cl)cc3)=NN2c2nc(-c3ccc([N+](=O)[O-])cc3)cs2)cc1,1.8325814637483102,log(ug/mL),'=',507.04,,Scientific Literature,Med Chem Res
450,Escherichia coli,COc1cc(NC(=S)NNC(=O)c2cc([N+](=O)[O-])cn2C)cc(OC)c1OC,-0.941608539858445,log(ug/mL),'=',409.42,,Scientific Literature,Bioorg. Med. Chem. Lett.
451,Escherichia coli,Nc1nc2ccccc2s1,6.238324625039508,log(ug/mL),'>',150.21,,Scientific Literature,Eur. J. Med. Chem.
452,Escherichia coli,CC[C@H](C)[C@H](NC(=O)CNC(C)=O)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[C@@H](C)CC)C(C)C,2.772588722239781,log(ug/mL),'=',2519.26,,Scientific Literature,ACS Med. Chem. Lett.
453,Escherichia coli,NC(=O)N/N=C/CC(=O)c1ccccc1,4.1588830833596715,log(ug/mL),'>',205.22,,Scientific Literature,Eur. J. Med. Chem.
454,Escherichia coli,CC(C)CCOc1ccc2ccccc2c1-c1c(OCc2cn(C[C@@H](CCCCN)NC(=O)CCc3ccccc3)nn2)ccc2ccccc12.Cl,3.4657359027997265,log(ug/mL),'>',720.36,,Scientific Literature,Eur J Med Chem
455,Escherichia coli,CC(C)CCOc1ccccc1-c1ccccc1OCc1cn(C[C@@H](CCCCN)NC(=O)[C@@H](CCCNC(=N)N)n2cc(CCc3ccccc3)nn2)nn1.Cl.Cl,2.0794415416798357,log(ug/mL),'=',836.91,,Scientific Literature,Eur J Med Chem
456,Escherichia coli,CCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,2.747270914255491,log(ug/mL),'=',800.06,,Scientific Literature,Eur. J. Med. Chem.
457,Escherichia coli,CCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,3.4404180948154366,log(ug/mL),'>',613.85,,Scientific Literature,Eur. J. Med. Chem.
458,Escherichia coli,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,3.4404180948154366,log(ug/mL),'>',968.31,,Scientific Literature,Eur. J. Med. Chem.
